multiplier,logical_run,state,result_dir
10,q10_r2,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r2_E1
10,q10_r3,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r3_E1
10,q10_r3,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r3_S1
10,q10_r3,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r3_L0
10,q10_r3,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r3_L1
10,q10_r4,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r4_S1
10,q10_r4,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r4_E1
10,q10_r4,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r4_L1
10,q10_r4,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r4_L0
10,q10_r5,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r5_L0
10,q10_r5,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r5_L1
10,q10_r5,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r5_E1
10,q10_r5,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r5_S1
100,q100_warmup,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_warmup_L0
100,q100_warmup,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_warmup_L1
100,q100_warmup,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_warmup_E1
100,q100_warmup,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_warmup_S1
