multiplier,particle_count_initial,repeat,state,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms,particle_count,base_particle_count,injected_particle_count,removed_particle_count,injection_fraction,occupancy_cv,occupancy_i2,occupancy_p99,occupancy_max,heavy_cell_fraction,heavy_particle_fraction,heavy_task_count_estimate
1,7581,2,S1,4.58191991,0.357376009,0.115712002,0.00614400022,0.0460800007,1.25030398,0.388096005,0.04211200025,0.0368640013,0.0184320007,0.960511982,1.23652798,0.0696320012,0.0184320007,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,3,S1,4.60390401,0.359935999,0.115712002,0.00614400022,0.0491999984,1.251839995,0.38860800900000003,0.0419839993,0.0368640013,0.0194559991,0.9641759995,1.236992,0.0696320012,0.0189919993,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,4,S1,4.59008002,0.360447988,0.115200002,0.00614400022,0.052912000550000005,1.2538880099999998,0.39019200200000004,0.0419839993,0.0373760015,0.0194559991,0.962047994,1.239040015,0.0696320012,0.0184480008,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,5,S1,4.590080025000001,0.35686399049999995,0.115712002,0.00614400022,0.0491519999,1.257984045,0.39270401,0.04201599955,0.0368640013,0.0184959993,0.9630720020000001,1.244672,0.0696800016,0.0184320007,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
10,75810,1,L0,1.67219198,0.3563520015,0.115712002,0.0133119998,0.0,0.27443200349999997,0.227328002,0.1551359965,0.09881599995,0.0,0.0552960001,0.2724319995,0.0389119983,0.0215039998,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,2,L0,1.7326079600000002,0.38553600050000003,0.115712002,0.0128000001,0.0,0.2749439775,0.227328002,0.154624,0.09983999669999999,0.0,0.0563200004,0.27289599200000003,0.0378880017,0.0266239997,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,3,L0,1.73020804,0.3998720045,0.116736002,0.0133119998,0.0,0.275968,0.227328002,0.155151993,0.0983040035,0.0,0.0547839999,0.273440003,0.0378880017,0.0266239997,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,4,L0,1.7290399650000001,0.3942400065,0.116736002,0.0128000001,0.0,0.27639998499999996,0.22684799849999998,0.155647993,0.0993279964,0.0,0.0542719997,0.27289599200000003,0.0378880017,0.0266239997,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,5,L0,1.714688,0.4003999975,0.115712002,0.0133119998,0.0,0.275968015,0.2268159985,0.1551359965,0.0983040035,0.0,0.0542719997,0.273407996,0.0389119983,0.0266239997,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,1,L1,4.75590396,0.35276800399999997,0.116736002,0.0122880004,0.0378879998,1.25030398,0.397311985,0.153600007,0.103423998,0.0286720004,0.94975999,1.24825597,0.0706560016,0.0204799995,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,2,L1,4.7534081950000004,0.34150399249999996,0.11622400199999999,0.0122880004,0.0337920003,1.25030398,0.397311985,0.153600007,0.103423998,0.0286720004,0.945151985,1.247743965,0.0706560016,0.0204799995,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,3,L1,4.782032015,0.35276800399999997,0.116736002,0.0122880004,0.04406400025,1.250815985,0.396336004,0.153600007,0.102959998,0.0286720004,0.954367995,1.24927998,0.06969600175,0.01958400015,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,4,L1,4.75494409,0.34867200249999997,0.116736002,0.0122880004,0.0297760004,1.25132799,0.397311985,0.153600007,0.104447998,0.0286720004,0.944207996,1.248767975,0.0706560016,0.0204799995,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,5,L1,4.75297594,0.34201599650000003,0.116736002,0.0122880004,0.03635200115,1.25132799,0.396799996,0.153600007,0.104959998,0.02918400055,0.945151985,1.248319985,0.0706560016,0.0204799995,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,1,E1,4.766207935000001,0.335871994,0.116736002,0.0133119998,0.0332800001,1.24979198,0.397311985,0.153600007,0.103935998,0.0204799995,0.9722880125,1.248767975,0.0706560016,0.0204799995,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,2,E1,4.78617597,0.346624002,0.116736002,0.0122880004,0.0431040004,1.2492799749999999,0.397311985,0.153600007,0.103423998,0.0204799995,0.97587201,1.247743965,0.0706560016,0.0204799995,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,3,E1,4.78822422,0.3353599905,0.116736002,0.0133119998,0.04147199915,1.2522560349999998,0.398335993,0.153600007,0.102399997,0.0204799995,0.9769119915,1.248287975,0.0706560016,0.0204799995,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,4,E1,4.8322560800000005,0.348159999,0.116736002,0.0128000001,0.0455680005,1.25542402,0.397311985,0.153600007,0.103423998,0.0204799995,0.989695996,1.24927998,0.0706560016,0.0204799995,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,5,E1,4.79897594,0.3583999875,0.116736002,0.0122880004,0.047103999199999996,1.251839995,0.396336004,0.153600007,0.102399997,0.0204799995,0.9774079920000001,1.248767975,0.0701920018,0.0194559991,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,1,S1,4.8087039,0.365567997,0.116736002,0.0122880004,0.04049599915,1.263103965,0.397839993,0.153600007,0.103423998,0.0204959996,0.97331202,1.247743965,0.0737280026,0.0204799995,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,2,S1,4.852736,0.359935999,0.116736002,0.0122880004,0.04403200005,1.2666879899999999,0.397839993,0.152575999,0.1024159975,0.0204799995,0.984063983,1.247743965,0.0727040023,0.0204799995,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,3,S1,4.820991995,0.360448003,0.116736002,0.0122880004,0.044032,1.26566398,0.3973919895,0.153600007,0.103423998,0.0204799995,0.97587198,1.24723196,0.0737280026,0.0204799995,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,4,S1,4.79640007,0.360448003,0.116736002,0.01239999985,0.033792000249999996,1.26412797,0.3979039935,0.153088003,0.1029119975,0.0204799995,0.971855998,1.2477439650000002,0.0727040023,0.0195840001,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
10,75810,5,S1,4.837888005,0.3732480105,0.115744002,0.0122880004,0.0445440002,1.2666080000000002,0.398335993,0.153600007,0.1029119975,0.0204799995,0.9953279795,1.247743965,0.0737280026,0.0204799995,75970.0,75969.5,1.0,0.0,1.3167684035200852e-05,1.9752124248918839,4.901464453921517,90.0,230.0,0.0,0.0,0.0
100,758100,1,L0,8.15718365,0.3599839955,0.117760003,0.0143360002,0.0,1.24416006,1.822208045,1.40595198,0.669695973,0.0,0.4756799935,1.24620795,0.749567986,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,2,L0,8.156672,0.35276800399999997,0.117760003,0.0143360002,0.0,1.24416006,1.82272005,1.405439975,0.6712319849999999,0.0,0.480767995,1.246719955,0.749567986,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,3,L0,8.17612791,0.375808001,0.117760003,0.0143360002,0.0,1.246720015,1.82169604,1.405983985,0.668672025,0.0,0.4792960135,1.245695945,0.750591993,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,4,L0,8.16179228,0.357376009,0.117760003,0.0143360002,0.0,1.24518406,1.82169604,1.4064639799999998,0.670207977,0.0,0.481792003,1.24620795,0.748543978,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,5,L0,8.15769577,0.366592005,0.117760003,0.0143360002,0.0,1.24518406,1.822208045,1.4064639799999998,0.669695973,0.0,0.4782080055,1.245695945,0.74752003,0.0266239997,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,1,L1,8.2114563,0.365567997,0.117760003,0.0143360002,0.186368003,1.37471998,0.439807996,1.4274560200000002,0.824832022,0.183295995,1.16019201,1.37420797,0.692736,0.0266239997,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,2,L1,8.21401596,0.3604799955,0.118784003,0.0143360002,0.185343996,1.375231985,0.441343993,1.43001604,0.8258559999999999,0.1832960025,1.161231995,1.37625599,0.693248004,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,3,L1,8.239103790000001,0.37990400199999996,0.118784003,0.0143360002,0.1868799995,1.3747680199999999,0.440319985,1.432063995,0.8289279940000001,0.183807999,1.16121602,1.37625599,0.693247974,0.027135999850000002,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,4,L1,8.223743915,0.3712000105,0.118784003,0.0143360002,0.186368003,1.375743985,0.440319985,1.43155199,0.824831992,0.184320003,1.16121602,1.37625599,0.693247974,0.0266239997,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,5,L1,8.22323179,0.3640320005,0.117760003,0.0143360002,0.1868799995,1.374719975,0.441855997,1.432063995,0.8258559999999999,0.1838719995,1.16019201,1.374719975,0.694319993,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,1,E1,7.961600065,0.3481599985,0.118784003,0.0143360002,0.0634879991,1.3767679899999998,0.441343993,1.429503975,0.821247995,0.0532479994,1.16121602,1.375743985,0.6952959894999999,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,2,E1,7.95641613,0.351231992,0.117760003,0.0143360002,0.0634879991,1.375743985,0.442368001,1.431551995,0.821247995,0.0532479994,1.16121602,1.37523198,0.693247974,0.027135999850000002,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,3,E1,7.965696100000001,0.340992004,0.118784003,0.0143360002,0.0639999993,1.3752319800000001,0.440319985,1.43155199,0.8320000169999999,0.0542719997,1.16121602,1.37625599,0.694783986,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,4,E1,7.9933440650000005,0.3620000035,0.118320003,0.0143360002,0.0639999993,1.378304,0.440319985,1.43052804,0.8238079844999999,0.0532479994,1.16121602,1.375743985,0.696832001,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,5,E1,8.00767994,0.370687991,0.118784003,0.0143360002,0.0645119995,1.378304005,0.442368001,1.429504035,0.824831992,0.0532479994,1.1719680449999998,1.37625599,0.69529599,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,1,S1,7.96774387,0.3640320005,0.118784003,0.0143360002,0.0245760009,1.378784,0.446464002,1.42900801,0.8217599984999999,0.0542719997,1.175040005,1.3880319600000002,0.700416028,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,2,S1,7.95699191,0.34559999399999997,0.117760003,0.013327999949999999,0.0245760009,1.38035202,0.445439994,1.42899203,0.821247995,0.0532479994,1.16121602,1.385472,0.700416028,0.027135999850000002,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,3,S1,7.941632035,0.34150399249999996,0.118272003,0.0143360002,0.02611199955,1.37932801,0.446464002,1.428992035,0.825343996,0.0532479994,1.16121602,1.3880319600000002,0.6999040245,0.0267680008,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,4,S1,8.00256014,0.379391998,0.117760003,0.0143360002,0.03430400045,1.38324803,0.446464002,1.4289920299999999,0.826880008,0.05375999955,1.161728025,1.38753599,0.699392021,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
100,758100,5,S1,8.02764797,0.365055993,0.118784003,0.013824,0.03481599875,1.37932801,0.446976006,1.431040045,0.82329601,0.0532479994,1.172480045,1.3875199550000001,0.699392021,0.027648,759775.5,759786.5,17.5,0.0,2.3027118984784416e-05,1.9751044168071326,4.901037800606821,900.0,2300.0,0.007631578947368421,0.1148098180839115,119.0
500,3790500,1,L0,37.09235195,0.37376,0.119808003,0.0327679999,0.0,5.60998392,9.114111900000001,6.882303955,3.20460808,0.0,2.18420804,5.64275217,3.76524806,0.0266239997,3798931.5,3798986.5,86.0,0.0,2.263757888939615e-05,1.9750529265297534,4.900834463222398,4500.0,11498.5,0.12486842105263157,0.6127902992862572,2650.0
500,3790500,2,L0,37.1773434,0.3609760105,0.1203200035,0.0317439996,0.0,5.62124777,9.114111900000001,6.92479992,3.220479965,0.0,2.18265593,5.688832045,3.77702391,0.0266239997,3798931.5,3798986.5,86.0,0.0,2.263757888939615e-05,1.9750529265297534,4.900834463222398,4500.0,11498.5,0.12486842105263157,0.612790825453889,2650.0
500,3790500,3,L0,37.05958364999999,0.41625601050000005,0.119296003,0.0327679999,0.0,5.6545279,9.114623545,6.838272095000001,3.19846404,0.0,2.1780480100000004,5.710848095,3.7611520250000003,0.0255999994,3798931.5,3798986.5,86.0,0.0,2.263757888939615e-05,1.9750529917396682,4.900834720725923,4500.0,11498.5,0.12486842105263157,0.6127902992219267,2650.0
500,3790500,4,L0,37.107711800000004,0.4249600025,0.119808003,0.0327679999,0.0,5.652479885,9.11155224,6.845952035,3.181568025,0.0,2.191359995,5.623808145,3.77343988,0.0266239997,3798931.5,3798986.5,86.0,0.0,2.263757888939615e-05,1.9750529917396682,4.900834720725923,4500.0,11498.5,0.12486842105263157,0.6127906939119809,2650.0
500,3790500,5,L0,37.23878285,0.3814399985,0.119808003,0.0327679999,0.0,5.65657592,9.164800164999999,6.9232800050000005,3.21945596,0.0,2.19545603,5.7077760699999995,3.775488015,0.0266239997,3798931.5,3798986.5,86.0,0.0,2.263757888939615e-05,1.9750529265297534,4.900834463222398,4500.0,11498.5,0.12486842105263157,0.6127904308281651,2650.0
