GPU2_SOURCE_RESIDUAL_V1 20
14800 3.37052143646579376e-09
14801 3.57138931799917571e-09
14802 1.92376661182797099e-09
14803 2.35575959790100481e-09
14804 6.67095583408277731e-10
14805 1.93319344809773097e-09
14806 2.49582833680766900e-09
14807 2.66181059395522477e-09
14808 2.26973608853644682e-09
14809 2.86466555240394363e-09
14810 3.82834199718781034e-09
14811 3.39460608724130580e-09
14812 4.57888632584597970e-09
14813 1.01712550037764269e-09
14814 2.44177565202759512e-09
14815 4.92240091137178764e-09
14816 1.65850120286099479e-09
14817 3.17158204645612432e-09
14818 1.66327748973901175e-09
14819 3.56171524676676121e-09
