state,time_s,field,relative_l2_vs_L0
L1,0.0175,p,4.343803540101159e-15
L1,0.0175,T,1.6875493294832536e-15
L1,0.0175,U,1.838911446187599e-12
L1,0.0175,epsilonS,1.9926971437283984e-16
L1,0.0175,Us,2.817310646507393e-10
L1,0.0175,theta,4.049131720704e-09
L1,0.02,rho,3.408318963716297e-15
L1,0.02,p,4.973653814736016e-15
L1,0.02,T,1.9730722753368936e-15
L1,0.02,U,2.29314806394893e-12
L1,0.02,epsilonS,2.0215717865670443e-16
L1,0.02,Us,3.0720936605273176e-10
L1,0.02,theta,4.350316982711081e-09
L1,0.0225,rho,4.14669005617688e-15
L1,0.0225,p,5.780398853687867e-15
L1,0.0225,T,2.209726055276301e-15
L1,0.0225,U,2.79030118832518e-12
L1,0.0225,epsilonS,2.0320614034245103e-16
L1,0.0225,Us,3.3310191167392523e-10
L1,0.0225,theta,4.723665198320592e-09
L1,0.025,rho,4.380437300379167e-15
L1,0.025,p,6.29649198719715e-15
L1,0.025,T,2.508515079737413e-15
L1,0.025,U,3.2947332825461247e-12
L1,0.025,epsilonS,2.0489587055720282e-16
L1,0.025,Us,3.5396474379743e-10
L1,0.025,theta,4.948084380430034e-09
L1,0.0275,rho,4.9785616978989746e-15
L1,0.0275,p,7.0815655846804155e-15
L1,0.0275,T,2.718596109041615e-15
L1,0.0275,U,3.828709206442469e-12
L1,0.0275,epsilonS,2.0503891317311176e-16
L1,0.0275,Us,3.7434534463629065e-10
L1,0.0275,theta,5.1039088680368995e-09
L1,0.03,rho,5.46044537660921e-15
L1,0.03,p,7.821556115329796e-15
L1,0.03,T,3.0781865502275172e-15
L1,0.03,U,4.3960739517831875e-12
L1,0.03,epsilonS,2.0544239254322685e-16
L1,0.03,Us,3.9701511702019834e-10
L1,0.03,theta,5.349918610692792e-09
L1,0.0325,rho,6.056861842779778e-15
L1,0.0325,p,8.392122940352031e-15
L1,0.0325,T,3.158680501076014e-15
L1,0.0325,U,4.9837695230383186e-12
L1,0.0325,epsilonS,2.0537826180496164e-16
L1,0.0325,Us,4.173059763959571e-10
L1,0.0325,theta,5.569685092889307e-09
L1,0.035,rho,6.5735345521686095e-15
L1,0.035,p,9.10498789545207e-15
L1,0.035,T,3.536878696998979e-15
L1,0.035,U,5.615282747140386e-12
L1,0.035,epsilonS,2.0794770650962638e-16
L1,0.035,Us,4.340281388573899e-10
L1,0.035,theta,5.765704018365792e-09
L1,0.0375,rho,7.069313921895217e-15
L1,0.0375,p,9.622740380163597e-15
L1,0.0375,T,3.886894942790522e-15
L1,0.0375,U,6.247834351919036e-12
L1,0.0375,epsilonS,2.0889484728725298e-16
L1,0.0375,Us,4.4988426143808586e-10
L1,0.0375,theta,5.9377269153391436e-09
L1,0.04,rho,7.385885446157667e-15
L1,0.04,p,1.0162020011791888e-14
L1,0.04,T,3.964664553517697e-15
L1,0.04,U,6.873108037522899e-12
L1,0.04,epsilonS,2.0891395395077736e-16
L1,0.04,Us,4.66932612731109e-10
L1,0.04,theta,6.060784990320622e-09
L1,0.0425,rho,7.938715219143286e-15
L1,0.0425,p,1.0747343391473034e-14
L1,0.0425,T,4.331309304898754e-15
L1,0.0425,U,7.492715874736132e-12
L1,0.0425,epsilonS,2.0882179835348728e-16
L1,0.0425,Us,4.817560810803178e-10
L1,0.0425,theta,6.205168975335238e-09
L1,0.045,rho,8.334353558965648e-15
L1,0.045,p,1.1375031988550606e-14
L1,0.045,T,4.492316828247659e-15
L1,0.045,U,8.129253482966866e-12
L1,0.045,epsilonS,2.087208998744976e-16
L1,0.045,Us,4.981966345578948e-10
L1,0.045,theta,6.357531682632598e-09
L1,0.0475,rho,8.679650483202563e-15
L1,0.0475,p,1.1820038910804138e-14
