factor,pair,order_in_pair,state,run_id,restart_sha256,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms,particle_count,occupancy_mean,occupancy_cv,occupancy_p99,occupancy_max,heavy_threshold,heavy_cell_count,heavy_particle_count,heavy_particle_fraction,heavy_task_count_estimate
2,1,2,S2,k2_pair01_o2_S2,50d23cbd990b730960d8094acfa0cb986d8cc2517bf0a1cb4fcc2664dd535e82,25.994239800000003,0.38092801,0.104959998,0.0327679999,0.09420800205,1.502031985,0.889343977,10.82624005,3.96748805,0.387584001,1.8903039700000002,1.5503360050000001,4.233727930000001,0.0255999994,3809929.0,501.30644736842106,2.0047996327879605,4500.0,17999.0,8384.0,20.0,199989.0,0.05248807919533789,40.5
2,2,1,S2,k2_pair02_o1_S2,50d23cbd990b730960d8094acfa0cb986d8cc2517bf0a1cb4fcc2664dd535e82,26.03366375,0.387584001,0.105471998,0.0337920003,0.10193599754999999,1.502719995,0.895488024,10.92454385,3.978240015,0.387071997,1.880576015,1.549824,4.241919995,0.0255999994,3809929.0,501.30644736842106,2.004799951970088,4500.0,17999.0,8384.0,20.0,199989.0,0.05248807919533789,40.5
2,2,2,S1,k2_pair02_o2_S1,50d23cbd990b730960d8094acfa0cb986d8cc2517bf0a1cb4fcc2664dd535e82,25.664000549999997,0.33279998600000005,0.103423998,0.0327679999,0.019967999299999997,1.50681603,0.7505919935,10.88614415,3.99667192,0.379904002,1.6281599999999998,1.55392003,4.247551915,0.0255999994,3809929.0,501.30644736842106,2.0048008014288214,4500.0,17999.0,0.0,0.0,0.0,0.0,0.0
2,3,1,S1,k2_pair03_o1_S1,50d23cbd990b730960d8094acfa0cb986d8cc2517bf0a1cb4fcc2664dd535e82,25.586175949999998,0.3261440095,0.105471998,0.0332800001,0.0194559991,1.5057920249999999,0.753151983,10.966015800000001,4.0115199100000005,0.379904002,1.626111985,1.552448035,4.22809601,0.0255999994,3809929.0,501.30644736842106,2.0048002800613025,4500.0,17999.0,0.0,0.0,0.0,0.0,0.0
2,3,2,S2,k2_pair03_o2_S2,50d23cbd990b730960d8094acfa0cb986d8cc2517bf0a1cb4fcc2664dd535e82,25.967103950000002,0.3353600055,0.1029119975,0.0337920003,0.09627200289999999,1.5052800149999999,0.8883199989999999,10.88921595,3.9818240400000002,0.388096005,1.883135975,1.557504,4.21785593,0.0255999994,3809929.0,501.30644736842106,2.0048004103789636,4500.0,17999.0,8384.0,20.0,199989.0,0.05248807919533789,40.5
2,4,1,S2,k2_pair04_o1_S2,50d23cbd990b730960d8094acfa0cb986d8cc2517bf0a1cb4fcc2664dd535e82,26.138624200000002,0.339455992,0.103423998,0.0337920003,0.08601599935,1.50579202,0.885760009,10.9813762,3.99923217,0.389120013,1.904688,1.549311995,4.244992015,0.0255999994,3809929.0,501.30644736842106,2.004799891115413,4500.0,17999.0,8384.0,20.0,199989.0,0.05248807919533789,40.5
2,4,2,S1,k2_pair04_o2_S1,50d23cbd990b730960d8094acfa0cb986d8cc2517bf0a1cb4fcc2664dd535e82,25.68908785,0.3737599995,0.105471998,0.03430400045,0.028672000399999998,1.50784004,0.752640009,10.92095995,3.9731199750000004,0.3789599985,1.6204800050000001,1.5508480100000002,4.218880179999999,0.0255999994,3809929.0,501.30644736842106,2.0048000227373866,4500.0,17999.0,0.0,0.0,0.0,0.0,0.0
2,5,1,S1,k2_pair05_o1_S1,50d23cbd990b730960d8094acfa0cb986d8cc2517bf0a1cb4fcc2664dd535e82,25.7233925,0.365567997,0.105471998,0.0337920003,0.0204799995,1.5083520400000001,0.758783996,10.923519599999999,3.980288025,0.37942400600000004,1.6327680349999998,1.551872015,4.21484804,0.0255999994,3809929.0,501.30644736842106,2.0048006023015303,4500.0,17999.0,0.0,0.0,0.0,0.0,0.0
2,5,2,S2,k2_pair05_o2_S2,50d23cbd990b730960d8094acfa0cb986d8cc2517bf0a1cb4fcc2664dd535e82,25.97222425,0.33331199,0.104447998,0.0332800001,0.0845439993,1.50835198,0.887296021,10.908159699999999,4.01561594,0.38963200200000003,1.8897919650000001,1.5559680450000002,4.213760135,0.0255999994,3809929.0,501.30644736842106,2.0048004747001915,4500.0,17999.0,8384.0,20.0,199989.0,0.05248807919533789,40.5
4,1,1,S1,k4_pair01_o1_S1,769dd58f21e51d798eaa901177f499c9588cc6f2849b5b96765bf774095a578d,27.63008025,0.384512007,0.103423998,0.03225599975,0.02099199965,1.86419201,0.9646080135,10.71820835,3.951103925,0.381951988,1.86675203,1.98963201,5.26796794,0.0255999994,3831929.0,504.2011842105263,2.1111274438831718,4500.0,32000.0,0.0,0.0,0.0,0.0,0.0
4,1,2,S2,k4_pair01_o2_S2,769dd58f21e51d798eaa901177f499c9588cc6f2849b5b96765bf774095a578d,27.78060815,0.377360001,0.102399997,0.0337920003,0.09684800360000001,1.8846720449999999,0.88064,10.7371521,3.95980811,0.39168000199999997,1.8918399799999999,1.99219203,5.28998399,0.0266239997,3831929.0,504.2011842105263,2.1111276858704335,4500.0,32000.0,8448.0,20.0,221989.0,0.05792761104818106,43.0
4,2,1,S2,k4_pair02_o1_S2,769dd58f21e51d798eaa901177f499c9588cc6f2849b5b96765bf774095a578d,27.886080749999998,0.371712014,0.103423998,0.0327679999,0.0977919996,1.8772000100000001,0.8842239975,10.841599949999999,4.0104959000000004,0.38963200200000003,1.86675203,2.003455995,5.31200004,0.0255999994,3831929.0,504.2011842105263,2.11112725714616,4500.0,32000.0,8448.0,20.0,221989.0,0.05792761104818106,43.0
4,2,2,S1,k4_pair02_o2_S1,769dd58f21e51d798eaa901177f499c9588cc6f2849b5b96765bf774095a578d,27.639216400000002,0.30259199449999996,0.102399997,0.0327679999,0.0194559991,1.872384015,0.962047994,10.7939844,3.93881595,0.38092801,1.86163199,1.99116802,5.298687935,0.0251519997,3831929.0,504.2011842105263,2.1111276843242752,4500.0,32000.0,0.0,0.0,0.0,0.0,0.0
4,3,1,S1,k4_pair03_o1_S1,769dd58f21e51d798eaa901177f499c9588cc6f2849b5b96765bf774095a578d,27.7913599,0.3302399965,0.100863997,0.0327679999,0.0194559991,1.8671680099999999,0.9635840055,10.72691205,3.96902394,0.38246399200000003,1.86419201,2.007552025,5.28486395,0.0255999994,3831929.0,504.2011842105263,2.1111275638470772,4500.0,32000.0,0.0,0.0,0.0,0.0,0.0
4,3,2,S2,k4_pair03_o2_S2,769dd58f21e51d798eaa901177f499c9588cc6f2849b5b96765bf774095a578d,27.7155838,0.30003199,0.101375997,0.0337920003,0.0901280008,1.883648035,0.883711994,10.77811195,3.97824001,0.389120013,1.8780159950000002,1.972224,5.30227208,0.0255999994,3831929.0,504.2011842105263,2.1111271355161216,4500.0,32000.0,8448.0,20.0,221989.0,0.05792761104818106,43.0
4,4,1,S2,k4_pair04_o1_S2,769dd58f21e51d798eaa901177f499c9588cc6f2849b5b96765bf774095a578d,28.013567950000002,0.332287997,0.10188799700000001,0.03225599975,0.09267200155,1.88006401,0.881152004,10.9004803,3.99360001,0.3906559945,1.885696055,2.001920045,5.323776005,0.0255999994,3831929.0,504.2011842105263,2.1111272003978336,4500.0,32000.0,8448.0,20.0,221989.0,0.05792761104818106,43.0
4,4,2,S1,k4_pair04_o2_S1,769dd58f21e51d798eaa901177f499c9588cc6f2849b5b96765bf774095a578d,27.67411235,0.338431999,0.10188799700000001,0.0327679999,0.01999999955,1.883135975,0.968703985,10.7479043,3.98438406,0.381951988,1.86060804,2.00448,5.25875211,0.0255999994,3831929.0,504.2011842105263,2.1111271969192726,4500.0,32000.0,0.0,0.0,0.0,0.0,0.0
4,5,1,S1,k4_pair05_o1_S1,769dd58f21e51d798eaa901177f499c9588cc6f2849b5b96765bf774095a578d,27.7386236,0.32460799799999995,0.102399997,0.0327679999,0.019967999299999997,1.8708480600000001,0.9733119905000001,10.792448,3.94905603,0.38041600600000003,1.863168,1.98963201,5.235744,0.0255999994,3831929.0,504.2011842105263,2.1111275022691283,4500.0,32000.0,0.0,0.0,0.0,0.0,0.0
4,5,2,S2,k4_pair05_o2_S2,769dd58f21e51d798eaa901177f499c9588cc6f2849b5b96765bf774095a578d,27.5942402,0.309312001,0.100351997,0.03225599975,0.0881280005,1.863168,0.877568007,10.73305605,3.935231925,0.389119998,1.887232005,1.98963201,5.280767915,0.0255999994,3831929.0,504.2011842105263,2.1111273800986035,4500.0,32000.0,8448.0,20.0,221989.0,0.05792761104818106,43.0
