factor,pair,stage,s1_median_ms,s2_median_ms,s1_over_s2_speedup
1,1,total_ms,24.654848099999999,25.226752250000001,0.97732945785758052
1,1,gas_flux_ms,0.3717119995,0.37273600699999998,0.99725272718286118
1,1,eulerian_coupling_ms,0.10649599849999999,0.10188799700000001,1.045226146706957
1,1,injection_ms,0.032767999899999997,0.032767999899999997,1
1,1,bin_pre_ms,0.036480000250000005,0.093712002049999993,0.38927778141519287
1,1,pressure_pre_ms,1.4815520049999999,1.47814405,1.0023055635206866
1,1,collision_pool_ms,0.727039993,0.87296000100000004,0.83284456580731692
1,1,relax_ms,10.52876805,10.6419201,0.98936732761224166
1,1,track_ms,3.8896640549999999,3.8481919749999998,1.0107770299063628
1,1,bin_post_ms,0.373760015,0.38195198800000002,0.97855234883605313
1,1,moments_ms,1.5831039549999999,1.8206720349999999,0.86951626902974866
1,1,pressure_post_ms,1.522176025,1.525759995,0.99765102636604386
1,1,compaction_ms,3.9449599950000001,3.9562240850000001,0.99715281800070232
1,1,boundary_ms,0.0255999994,0.02465599965,1.03828681713986
1,2,total_ms,25.057791700000003,25.339904799999999,0.98886684451947915
1,2,gas_flux_ms,0.32615999900000003,0.3624960035,0.89976164109627221
1,2,eulerian_coupling_ms,0.1035199985,0.1029119975,1.0059079700595648
1,2,injection_ms,0.032767999899999997,0.032767999899999997,1
1,2,bin_pre_ms,0.019983999449999998,0.088064000050000008,0.22692586571872392
1,2,pressure_pre_ms,1.4827519650000001,1.4774400550000002,1.0035953472237491
1,2,collision_pool_ms,0.73932799699999996,0.87296000100000004,0.84692081670761443
1,2,relax_ms,10.822144,10.711040050000001,1.0103728442318727
1,2,track_ms,3.9418880949999999,3.9157760100000001,1.0066684317318753
1,2,bin_post_ms,0.37785598599999998,0.38348799950000001,0.98531371644655585
1,2,moments_ms,1.6235519649999999,1.8380799849999998,0.88328689624461587
1,2,pressure_post_ms,1.53958398,1.5262719950000001,1.0087218956015764
1,2,compaction_ms,3.9608319999999999,3.9454720000000001,1.0038930703348039
1,2,boundary_ms,0.0255999994,0.0255999994,1
1,3,total_ms,24.987648,25.539071999999997,0.97840861249774469
1,3,gas_flux_ms,0.32153600449999997,0.31129600099999999,1.0328947479797532
1,3,eulerian_coupling_ms,0.104959998,0.103935998,1.0098522169383508
1,3,injection_ms,0.032816000249999998,0.033280000099999998,0.98605769685679778
1,3,bin_pre_ms,0.020479999499999998,0.086688000749999994,0.23624953076334501
1,3,pressure_pre_ms,1.484287975,1.4812159550000001,1.0020739852211489
1,3,collision_pool_ms,0.73932799699999996,0.88319999000000005,0.83710145535667402
1,3,relax_ms,10.75711965,10.8108802,0.99502718104303844
1,3,track_ms,3.991551995,3.9516160449999997,1.0101062323730898
1,3,bin_post_ms,0.37785598599999998,0.385024011,0.98138291432427049
1,3,moments_ms,1.6255999800000001,1.8693119899999999,0.86962475429262087
1,3,pressure_post_ms,1.53139198,1.533952,0.99833109510597462
1,3,compaction_ms,3.9449759699999998,3.9603199949999999,0.9961255592933469
1,3,boundary_ms,0.0255999994,0.024576000899999999,1.0416666041056339
1,4,total_ms,25.2467203,25.515008000000002,0.98948510225824726
1,4,gas_flux_ms,0.36044800300000002,0.36812800150000002,0.97913769539750695
1,4,eulerian_coupling_ms,0.1059839985,0.103423998,1.0247524805606527
1,4,injection_ms,0.033280000099999998,0.032767999899999997,1.0156250061511993
1,4,bin_pre_ms,0.03020799905,0.13619199399999998,0.22180451407444701
1,4,pressure_pre_ms,1.4959360350000002,1.4959680450000001,0.99997860248411929
1,4,collision_pool_ms,0.74137598299999996,0.88371199349999996,0.83893393826616658
1,4,relax_ms,10.833408349999999,10.7299843,1.0096387885674725
1,4,track_ms,3.98438406,3.9193600399999999,1.0165904686827394
1,4,bin_post_ms,0.377856001,0.385024011,0.98138295328287983
1,4,moments_ms,1.6261119850000001,1.84985602,0.87904786503330135
1,4,pressure_post_ms,1.53804797,1.5329279900000001,1.0033400003349147
1,4,compaction_ms,3.9485440249999999,3.9562240849999997,0.99805873989061478
1,4,boundary_ms,0.0255999994,0.0255999994,1
1,5,total_ms,25.155071299999999,25.811967850000002,0.97455069858224685
1,5,gas_flux_ms,0.38092800999999998,0.33945600650000002,1.1221719536725887
1,5,eulerian_coupling_ms,0.105471998,0.104959998,1.0048780488734383
1,5,injection_ms,0.032767999899999997,0.033280000099999998,0.984615378651997
1,5,bin_pre_ms,0.020479999499999998,0.093696001899999992,0.21857922520384512
1,5,pressure_pre_ms,1.490448,1.4883360250000002,1.0014190175904665
1,5,collision_pool_ms,0.74035197500000005,0.88831999900000003,0.83342936760787711
1,5,relax_ms,10.866688249999999,10.931711700000001,0.99405185100152227
1,5,track_ms,3.9470080149999998,3.9808000300000002,0.99151125031517839
1,5,bin_post_ms,0.37734399699999999,0.38655999299999999,0.97615895031330879
1,5,moments_ms,1.613312005,1.8882560150000001,0.85439262058963972
1,5,pressure_post_ms,1.5360000149999999,1.5349760100000001,1.0006671146606387
1,5,compaction_ms,3.969023945,3.955200075,1.0034951126966694
1,5,boundary_ms,0.0255999994,0.0255999994,1
2,1,total_ms,25.434623700000003,25.994239800000003,0.97847153429737921
2,1,gas_flux_ms,0.38297599599999999,0.38092800999999998,1.0053763071925323
2,1,eulerian_coupling_ms,0.103423998,0.104959998,0.98536585337968474
2,1,injection_ms,0.032767999899999997,0.032767999899999997,1
2,1,bin_pre_ms,0.019455999099999999,0.094208002050000003,0.20652172508311886
2,1,pressure_pre_ms,1.50425601,1.5020319849999999,1.0014806775236549
2,1,collision_pool_ms,0.75161600100000003,0.88934397700000001,0.84513531371225559
2,1,relax_ms,10.797568349999999,10.826240049999999,0.99735164749094951
2,1,track_ms,3.9869440799999998,3.96748805,1.004903866062054
2,1,bin_post_ms,0.378879994,0.38758400100000001,0.97754291462613796
2,1,moments_ms,1.62252796,1.8903039700000002,0.8583423543251617
2,1,pressure_post_ms,1.5493119950000001,1.5503360050000001,0.99933949157040958
2,1,compaction_ms,4.2378239600000001,4.2337279300000006,1.0009674759615457
2,1,boundary_ms,0.0255999994,0.0255999994,1
2,2,total_ms,25.664000549999997,26.033663749999999,0.98580056946460326
2,2,gas_flux_ms,0.33279998600000005,0.38758400100000001,0.85865253762112859
2,2,eulerian_coupling_ms,0.103423998,0.105471998,0.9805825239036432
2,2,injection_ms,0.032767999899999997,0.0337920003,0.96969695812887402
2,2,bin_pre_ms,0.019967999299999997,0.10193599754999999,0.19588761359995147
2,2,pressure_pre_ms,1.50681603,1.5027199950000001,1.002725747320611
2,2,collision_pool_ms,0.75059199350000005,0.89548802400000005,0.83819322356453985
2,2,relax_ms,10.88614415,10.924543849999999,0.9964850065570473
2,2,track_ms,3.9966719199999998,3.9782400149999999,1.0046331807358284
2,2,bin_post_ms,0.37990400200000002,0.387071997,0.98148149425544728
2,2,moments_ms,1.6281599999999998,1.8805760149999999,0.86577728685963273
2,2,pressure_post_ms,1.55392003,1.5498240000000001,1.0026429000970432
2,2,compaction_ms,4.2475519149999998,4.2419199949999999,1.0013276818060308
2,2,boundary_ms,0.0255999994,0.0255999994,1
2,3,total_ms,25.586175949999998,25.967103950000002,0.98533036257206474
2,3,gas_flux_ms,0.3261440095,0.3353600055,0.97251909634764122
2,3,eulerian_coupling_ms,0.105471998,0.1029119975,1.0248756273533608
2,3,injection_ms,0.033280000099999998,0.0337920003,0.98484847906443695
2,3,bin_pre_ms,0.019455999099999999,0.096272002899999987,0.20209405137451442
