factor,pair,order_in_pair,state,run_id,metric,value
1,5,2,S2,k1_pair05_o2_S2,occupancy_mean,499.8590789473684
1,5,2,S2,k1_pair05_o2_S2,occupancy_cv,1.9750550797977007
1,5,2,S2,k1_pair05_o2_S2,occupancy_p99,4500
1,5,2,S2,k1_pair05_o2_S2,occupancy_max,11498.5
1,5,2,S2,k1_pair05_o2_S2,heavy_threshold,8384
1,5,2,S2,k1_pair05_o2_S2,heavy_cell_count,19
1,5,2,S2,k1_pair05_o2_S2,heavy_particle_count,186245
1,5,2,S2,k1_pair05_o2_S2,heavy_particle_fraction,0.049022870471078145
1,5,2,S2,k1_pair05_o2_S2,heavy_task_count_estimate,38
2,1,1,S1,k2_pair01_o1_S1,particle_count,3809929
2,1,1,S1,k2_pair01_o1_S1,occupancy_mean,501.30644736842106
2,1,1,S1,k2_pair01_o1_S1,occupancy_cv,2.004800084733676
2,1,1,S1,k2_pair01_o1_S1,occupancy_p99,4500
2,1,1,S1,k2_pair01_o1_S1,occupancy_max,17999
2,1,1,S1,k2_pair01_o1_S1,heavy_threshold,0
2,1,1,S1,k2_pair01_o1_S1,heavy_cell_count,0
2,1,1,S1,k2_pair01_o1_S1,heavy_particle_count,0
2,1,1,S1,k2_pair01_o1_S1,heavy_particle_fraction,0
2,1,1,S1,k2_pair01_o1_S1,heavy_task_count_estimate,0
2,1,2,S2,k2_pair01_o2_S2,particle_count,3809929
2,1,2,S2,k2_pair01_o2_S2,occupancy_mean,501.30644736842106
2,1,2,S2,k2_pair01_o2_S2,occupancy_cv,2.0047996327879605
2,1,2,S2,k2_pair01_o2_S2,occupancy_p99,4500
2,1,2,S2,k2_pair01_o2_S2,occupancy_max,17999
2,1,2,S2,k2_pair01_o2_S2,heavy_threshold,8384
2,1,2,S2,k2_pair01_o2_S2,heavy_cell_count,20
2,1,2,S2,k2_pair01_o2_S2,heavy_particle_count,199989
2,1,2,S2,k2_pair01_o2_S2,heavy_particle_fraction,0.052488079195337892
2,1,2,S2,k2_pair01_o2_S2,heavy_task_count_estimate,40.5
2,2,1,S2,k2_pair02_o1_S2,particle_count,3809929
2,2,1,S2,k2_pair02_o1_S2,occupancy_mean,501.30644736842106
2,2,1,S2,k2_pair02_o1_S2,occupancy_cv,2.0047999519700879
2,2,1,S2,k2_pair02_o1_S2,occupancy_p99,4500
2,2,1,S2,k2_pair02_o1_S2,occupancy_max,17999
2,2,1,S2,k2_pair02_o1_S2,heavy_threshold,8384
2,2,1,S2,k2_pair02_o1_S2,heavy_cell_count,20
2,2,1,S2,k2_pair02_o1_S2,heavy_particle_count,199989
2,2,1,S2,k2_pair02_o1_S2,heavy_particle_fraction,0.052488079195337892
2,2,1,S2,k2_pair02_o1_S2,heavy_task_count_estimate,40.5
2,2,2,S1,k2_pair02_o2_S1,particle_count,3809929
2,2,2,S1,k2_pair02_o2_S1,occupancy_mean,501.30644736842106
2,2,2,S1,k2_pair02_o2_S1,occupancy_cv,2.0048008014288214
2,2,2,S1,k2_pair02_o2_S1,occupancy_p99,4500
2,2,2,S1,k2_pair02_o2_S1,occupancy_max,17999
2,2,2,S1,k2_pair02_o2_S1,heavy_threshold,0
2,2,2,S1,k2_pair02_o2_S1,heavy_cell_count,0
2,2,2,S1,k2_pair02_o2_S1,heavy_particle_count,0
2,2,2,S1,k2_pair02_o2_S1,heavy_particle_fraction,0
2,2,2,S1,k2_pair02_o2_S1,heavy_task_count_estimate,0
2,3,1,S1,k2_pair03_o1_S1,particle_count,3809929
2,3,1,S1,k2_pair03_o1_S1,occupancy_mean,501.30644736842106
2,3,1,S1,k2_pair03_o1_S1,occupancy_cv,2.0048002800613025
2,3,1,S1,k2_pair03_o1_S1,occupancy_p99,4500
2,3,1,S1,k2_pair03_o1_S1,occupancy_max,17999
2,3,1,S1,k2_pair03_o1_S1,heavy_threshold,0
2,3,1,S1,k2_pair03_o1_S1,heavy_cell_count,0
2,3,1,S1,k2_pair03_o1_S1,heavy_particle_count,0
2,3,1,S1,k2_pair03_o1_S1,heavy_particle_fraction,0
2,3,1,S1,k2_pair03_o1_S1,heavy_task_count_estimate,0
2,3,2,S2,k2_pair03_o2_S2,particle_count,3809929
2,3,2,S2,k2_pair03_o2_S2,occupancy_mean,501.30644736842106
2,3,2,S2,k2_pair03_o2_S2,occupancy_cv,2.0048004103789636
2,3,2,S2,k2_pair03_o2_S2,occupancy_p99,4500
2,3,2,S2,k2_pair03_o2_S2,occupancy_max,17999
2,3,2,S2,k2_pair03_o2_S2,heavy_threshold,8384
2,3,2,S2,k2_pair03_o2_S2,heavy_cell_count,20
2,3,2,S2,k2_pair03_o2_S2,heavy_particle_count,199989
2,3,2,S2,k2_pair03_o2_S2,heavy_particle_fraction,0.052488079195337892
2,3,2,S2,k2_pair03_o2_S2,heavy_task_count_estimate,40.5
2,4,1,S2,k2_pair04_o1_S2,particle_count,3809929
2,4,1,S2,k2_pair04_o1_S2,occupancy_mean,501.30644736842106
2,4,1,S2,k2_pair04_o1_S2,occupancy_cv,2.0047998911154128
2,4,1,S2,k2_pair04_o1_S2,occupancy_p99,4500
2,4,1,S2,k2_pair04_o1_S2,occupancy_max,17999
2,4,1,S2,k2_pair04_o1_S2,heavy_threshold,8384
2,4,1,S2,k2_pair04_o1_S2,heavy_cell_count,20
2,4,1,S2,k2_pair04_o1_S2,heavy_particle_count,199989
2,4,1,S2,k2_pair04_o1_S2,heavy_particle_fraction,0.052488079195337892
2,4,1,S2,k2_pair04_o1_S2,heavy_task_count_estimate,40.5
2,4,2,S1,k2_pair04_o2_S1,particle_count,3809929
2,4,2,S1,k2_pair04_o2_S1,occupancy_mean,501.30644736842106
2,4,2,S1,k2_pair04_o2_S1,occupancy_cv,2.0048000227373866
2,4,2,S1,k2_pair04_o2_S1,occupancy_p99,4500
2,4,2,S1,k2_pair04_o2_S1,occupancy_max,17999
2,4,2,S1,k2_pair04_o2_S1,heavy_threshold,0
2,4,2,S1,k2_pair04_o2_S1,heavy_cell_count,0
2,4,2,S1,k2_pair04_o2_S1,heavy_particle_count,0
2,4,2,S1,k2_pair04_o2_S1,heavy_particle_fraction,0
2,4,2,S1,k2_pair04_o2_S1,heavy_task_count_estimate,0
2,5,1,S1,k2_pair05_o1_S1,particle_count,3809929
2,5,1,S1,k2_pair05_o1_S1,occupancy_mean,501.30644736842106
2,5,1,S1,k2_pair05_o1_S1,occupancy_cv,2.0048006023015303
2,5,1,S1,k2_pair05_o1_S1,occupancy_p99,4500
2,5,1,S1,k2_pair05_o1_S1,occupancy_max,17999
2,5,1,S1,k2_pair05_o1_S1,heavy_threshold,0
2,5,1,S1,k2_pair05_o1_S1,heavy_cell_count,0
2,5,1,S1,k2_pair05_o1_S1,heavy_particle_count,0
2,5,1,S1,k2_pair05_o1_S1,heavy_particle_fraction,0
2,5,1,S1,k2_pair05_o1_S1,heavy_task_count_estimate,0
2,5,2,S2,k2_pair05_o2_S2,particle_count,3809929
2,5,2,S2,k2_pair05_o2_S2,occupancy_mean,501.30644736842106
2,5,2,S2,k2_pair05_o2_S2,occupancy_cv,2.0048004747001915
2,5,2,S2,k2_pair05_o2_S2,occupancy_p99,4500
2,5,2,S2,k2_pair05_o2_S2,occupancy_max,17999
2,5,2,S2,k2_pair05_o2_S2,heavy_threshold,8384
2,5,2,S2,k2_pair05_o2_S2,heavy_cell_count,20
2,5,2,S2,k2_pair05_o2_S2,heavy_particle_count,199989
2,5,2,S2,k2_pair05_o2_S2,heavy_particle_fraction,0.052488079195337892
2,5,2,S2,k2_pair05_o2_S2,heavy_task_count_estimate,40.5
4,1,1,S1,k4_pair01_o1_S1,particle_count,3831929
4,1,1,S1,k4_pair01_o1_S1,occupancy_mean,504.20118421052632
4,1,1,S1,k4_pair01_o1_S1,occupancy_cv,2.1111274438831718
4,1,1,S1,k4_pair01_o1_S1,occupancy_p99,4500
4,1,1,S1,k4_pair01_o1_S1,occupancy_max,32000
4,1,1,S1,k4_pair01_o1_S1,heavy_threshold,0
4,1,1,S1,k4_pair01_o1_S1,heavy_cell_count,0
4,1,1,S1,k4_pair01_o1_S1,heavy_particle_count,0
4,1,1,S1,k4_pair01_o1_S1,heavy_particle_fraction,0
4,1,1,S1,k4_pair01_o1_S1,heavy_task_count_estimate,0
4,1,2,S2,k4_pair01_o2_S2,particle_count,3831929
4,1,2,S2,k4_pair01_o2_S2,occupancy_mean,504.20118421052632
4,1,2,S2,k4_pair01_o2_S2,occupancy_cv,2.1111276858704335
4,1,2,S2,k4_pair01_o2_S2,occupancy_p99,4500
4,1,2,S2,k4_pair01_o2_S2,occupancy_max,32000
4,1,2,S2,k4_pair01_o2_S2,heavy_threshold,8448
4,1,2,S2,k4_pair01_o2_S2,heavy_cell_count,20
4,1,2,S2,k4_pair01_o2_S2,heavy_particle_count,221989
4,1,2,S2,k4_pair01_o2_S2,heavy_particle_fraction,0.05792761104818106
4,1,2,S2,k4_pair01_o2_S2,heavy_task_count_estimate,43
4,2,1,S2,k4_pair02_o1_S2,particle_count,3831929
4,2,1,S2,k4_pair02_o1_S2,occupancy_mean,504.20118421052632
4,2,1,S2,k4_pair02_o1_S2,occupancy_cv,2.1111272571461601
4,2,1,S2,k4_pair02_o1_S2,occupancy_p99,4500
4,2,1,S2,k4_pair02_o1_S2,occupancy_max,32000
4,2,1,S2,k4_pair02_o1_S2,heavy_threshold,8448
4,2,1,S2,k4_pair02_o1_S2,heavy_cell_count,20
4,2,1,S2,k4_pair02_o1_S2,heavy_particle_count,221989
4,2,1,S2,k4_pair02_o1_S2,heavy_particle_fraction,0.05792761104818106
4,2,1,S2,k4_pair02_o1_S2,heavy_task_count_estimate,43
4,2,2,S1,k4_pair02_o2_S1,particle_count,3831929
4,2,2,S1,k4_pair02_o2_S1,occupancy_mean,504.20118421052632
4,2,2,S1,k4_pair02_o2_S1,occupancy_cv,2.1111276843242752
4,2,2,S1,k4_pair02_o2_S1,occupancy_p99,4500
4,2,2,S1,k4_pair02_o2_S1,occupancy_max,32000
4,2,2,S1,k4_pair02_o2_S1,heavy_threshold,0
4,2,2,S1,k4_pair02_o2_S1,heavy_cell_count,0
4,2,2,S1,k4_pair02_o2_S1,heavy_particle_count,0
4,2,2,S1,k4_pair02_o2_S1,heavy_particle_fraction,0
4,2,2,S1,k4_pair02_o2_S1,heavy_task_count_estimate,0
4,3,1,S1,k4_pair03_o1_S1,particle_count,3831929
4,3,1,S1,k4_pair03_o1_S1,occupancy_mean,504.20118421052632
4,3,1,S1,k4_pair03_o1_S1,occupancy_cv,2.1111275638470772
4,3,1,S1,k4_pair03_o1_S1,occupancy_p99,4500
4,3,1,S1,k4_pair03_o1_S1,occupancy_max,32000
4,3,1,S1,k4_pair03_o1_S1,heavy_threshold,0
4,3,1,S1,k4_pair03_o1_S1,heavy_cell_count,0
4,3,1,S1,k4_pair03_o1_S1,heavy_particle_count,0
4,3,1,S1,k4_pair03_o1_S1,heavy_particle_fraction,0
4,3,1,S1,k4_pair03_o1_S1,heavy_task_count_estimate,0
4,3,2,S2,k4_pair03_o2_S2,particle_count,3831929
4,3,2,S2,k4_pair03_o2_S2,occupancy_mean,504.20118421052632
4,3,2,S2,k4_pair03_o2_S2,occupancy_cv,2.1111271355161216
4,3,2,S2,k4_pair03_o2_S2,occupancy_p99,4500
4,3,2,S2,k4_pair03_o2_S2,occupancy_max,32000
4,3,2,S2,k4_pair03_o2_S2,heavy_threshold,8448
4,3,2,S2,k4_pair03_o2_S2,heavy_cell_count,20
4,3,2,S2,k4_pair03_o2_S2,heavy_particle_count,221989
4,3,2,S2,k4_pair03_o2_S2,heavy_particle_fraction,0.05792761104818106
4,3,2,S2,k4_pair03_o2_S2,heavy_task_count_estimate,43
4,4,1,S2,k4_pair04_o1_S2,particle_count,3831929
4,4,1,S2,k4_pair04_o1_S2,occupancy_mean,504.20118421052632
4,4,1,S2,k4_pair04_o1_S2,occupancy_cv,2.1111272003978336
4,4,1,S2,k4_pair04_o1_S2,occupancy_p99,4500
4,4,1,S2,k4_pair04_o1_S2,occupancy_max,32000
4,4,1,S2,k4_pair04_o1_S2,heavy_threshold,8448
4,4,1,S2,k4_pair04_o1_S2,heavy_cell_count,20
4,4,1,S2,k4_pair04_o1_S2,heavy_particle_count,221989
4,4,1,S2,k4_pair04_o1_S2,heavy_particle_fraction,0.05792761104818106
4,4,1,S2,k4_pair04_o1_S2,heavy_task_count_estimate,43
