multiplier,particle_count_initial,state,metric,median,q1,q3,ci95_low,ci95_high
1,7581,E1,relax_ms,0.0419839993,0.0419839993,0.0420479998,0.041983999300000005,0.04256
1,7581,E1,track_ms,0.0368640013,0.0368640013,0.0368640013,0.0368640013,0.03692799995
1,7581,E1,bin_post_ms,0.0194559991,0.0194559991,0.0194559991,0.019455999100000003,0.019455999100000003
1,7581,E1,moments_ms,0.963584006,0.9605119825,0.9651200175,0.9605119820000001,0.9656320209999999
1,7581,E1,pressure_post_ms,1.236992,1.236479995,1.237504005,1.236064015,1.242624045
1,7581,E1,compaction_ms,0.0675840005,0.0675840005,0.0675840005,0.0675840005,0.0675840005
1,7581,E1,boundary_ms,0.0184320007,0.0184320007,0.0184320007,0.0184320007,0.0184320007
1,7581,E1,particle_count,7588.0,7588.0,7588.0,7588.0,7588.0
1,7581,E1,base_particle_count,7588.0,7588.0,7588.0,7588.0,7588.0
1,7581,E1,injected_particle_count,0.0,0.0,0.0,0.0,0.0
1,7581,E1,removed_particle_count,0.0,0.0,0.0,0.0,0.0
1,7581,E1,injection_fraction,0.0,0.0,0.0,0.0,0.0
1,7581,E1,occupancy_cv,1.976755874180426,1.976755874180426,1.976755874180426,1.976755874180426,1.976755874180426
1,7581,E1,occupancy_i2,4.907564188732463,4.907564188732463,4.907564188732463,4.907564188732463,4.907564188732463
1,7581,E1,occupancy_p99,9.0,9.0,9.0,9.0,9.0
1,7581,E1,occupancy_max,23.0,23.0,23.0,23.0,23.0
1,7581,E1,heavy_cell_fraction,0.0,0.0,0.0,0.0,0.0
1,7581,E1,heavy_particle_fraction,0.0,0.0,0.0,0.0,0.0
1,7581,E1,heavy_task_count_estimate,0.0,0.0,0.0,0.0,0.0
1,7581,S1,total_ms,4.59008002,4.58191991,4.590080025000001,4.5808639499999995,4.60390401
1,7581,S1,gas_flux_ms,0.357376009,0.356864005,0.359935999,0.35686399049999995,0.36044798799999994
1,7581,S1,eulerian_coupling_ms,0.115712002,0.115712002,0.115712002,0.11520000199999998,0.11571200200000001
1,7581,S1,injection_ms,0.00614400022,0.00614400022,0.00614400022,0.00614400022,0.00614400022
1,7581,S1,bin_pre_ms,0.049168,0.0491519999,0.0491999984,0.0460800007,0.052912000550000005
1,7581,S1,pressure_pre_ms,1.2523520000000001,1.251839995,1.2538880099999998,1.25030398,1.2579840450000002
1,7581,S1,collision_pool_ms,0.38915200549999995,0.38860800900000003,0.39019200200000004,0.388096005,0.39270401
1,7581,S1,relax_ms,0.0419839993,0.0419839993,0.04201599955,0.041983999300000005,0.04211200025
1,7581,S1,track_ms,0.0368640013,0.0368640013,0.0368640013,0.0368640013,0.03737600149999999
1,7581,S1,bin_post_ms,0.0194559991,0.0184959993,0.0194559991,0.0184320007,0.019455999100000003
1,7581,S1,moments_ms,0.9630720020000001,0.962047994,0.963584006,0.9605119820000001,0.9641759994999999
1,7581,S1,pressure_post_ms,1.239040015,1.236992,1.23904002,1.23652798,1.244672
1,7581,S1,compaction_ms,0.0696320012,0.0696320012,0.0696320012,0.0696320012,0.0696800016
1,7581,S1,boundary_ms,0.0184480008,0.0184320007,0.0189439999,0.0184320007,0.0189919993
1,7581,S1,particle_count,7588.0,7588.0,7588.0,7588.0,7588.0
1,7581,S1,base_particle_count,7588.0,7588.0,7588.0,7588.0,7588.0
1,7581,S1,injected_particle_count,0.0,0.0,0.0,0.0,0.0
1,7581,S1,removed_particle_count,0.0,0.0,0.0,0.0,0.0
1,7581,S1,injection_fraction,0.0,0.0,0.0,0.0,0.0
1,7581,S1,occupancy_cv,1.976755874180426,1.976755874180426,1.976755874180426,1.976755874180426,1.976755874180426
1,7581,S1,occupancy_i2,4.907564188732463,4.907564188732463,4.907564188732463,4.907564188732463,4.907564188732463
1,7581,S1,occupancy_p99,9.0,9.0,9.0,9.0,9.0
1,7581,S1,occupancy_max,23.0,23.0,23.0,23.0,23.0
1,7581,S1,heavy_cell_fraction,0.0,0.0,0.0,0.0,0.0
1,7581,S1,heavy_particle_fraction,0.0,0.0,0.0,0.0,0.0
1,7581,S1,heavy_task_count_estimate,0.0,0.0,0.0,0.0,0.0
10,75810,L0,total_ms,1.7290399650000001,1.714688,1.73020804,1.6721919800000002,1.73260796
10,75810,L0,gas_flux_ms,0.3942400065,0.38553600050000003,0.3998720045,0.3563520015,0.4003999975
10,75810,L0,eulerian_coupling_ms,0.115712002,0.115712002,0.116736002,0.11571200200000001,0.11673600200000003
10,75810,L0,injection_ms,0.0133119998,0.0128000001,0.0133119998,0.0128000001,0.013311999799999998
10,75810,L0,bin_pre_ms,0.0,0.0,0.0,0.0,0.0
10,75810,L0,pressure_pre_ms,0.275968,0.2749439775,0.275968015,0.27443200349999997,0.27639998499999996
10,75810,L0,collision_pool_ms,0.227328002,0.22684799849999998,0.227328002,0.22681599850000006,0.227328002
10,75810,L0,relax_ms,0.1551359965,0.1551359965,0.155151993,0.15462400000000004,0.15564799300000004
10,75810,L0,track_ms,0.09881599995,0.0983040035,0.0993279964,0.0983040035,0.09983999669999999
10,75810,L0,bin_post_ms,0.0,0.0,0.0,0.0,0.0
10,75810,L0,moments_ms,0.0547839999,0.0542719997,0.0552960001,0.0542719997,0.05632000039999999
10,75810,L0,pressure_post_ms,0.27289599200000003,0.27289599200000003,0.273407996,0.2724319995000001,0.27344000300000004
10,75810,L0,compaction_ms,0.0378880017,0.0378880017,0.0389119983,0.0378880017,0.03891199830000001
10,75810,L0,boundary_ms,0.0266239997,0.0266239997,0.0266239997,0.0215039998,0.0266239997
10,75810,L0,particle_count,75970.0,75970.0,75970.0,75970.0,75970.0
10,75810,L0,base_particle_count,75969.5,75969.5,75969.5,75969.5,75969.5
10,75810,L0,injected_particle_count,1.0,1.0,1.0,1.0,1.0
10,75810,L0,removed_particle_count,0.0,0.0,0.0,0.0,0.0
10,75810,L0,injection_fraction,1.3167684035200852e-05,1.3167684035200852e-05,1.3167684035200852e-05,1.3167684035200852e-05,1.3167684035200852e-05
10,75810,L0,occupancy_cv,1.9752124248918839,1.9752124248918839,1.9752124248918839,1.9752124248918836,1.9752124248918836
10,75810,L0,occupancy_i2,4.901464453921517,4.901464453921517,4.901464453921517,4.901464453921518,4.901464453921518
10,75810,L0,occupancy_p99,90.0,90.0,90.0,90.0,90.0
10,75810,L0,occupancy_max,230.0,230.0,230.0,230.0,230.0
10,75810,L0,heavy_cell_fraction,0.0,0.0,0.0,0.0,0.0
10,75810,L0,heavy_particle_fraction,0.0,0.0,0.0,0.0,0.0
10,75810,L0,heavy_task_count_estimate,0.0,0.0,0.0,0.0,0.0
10,75810,L1,total_ms,4.75494409,4.7534081950000004,4.75590396,4.75297594,4.782032015
10,75810,L1,gas_flux_ms,0.34867200249999997,0.34201599650000003,0.35276800399999997,0.34150399249999996,0.35276800399999997
10,75810,L1,eulerian_coupling_ms,0.116736002,0.116736002,0.116736002,0.116224002,0.11673600200000003
10,75810,L1,injection_ms,0.0122880004,0.0122880004,0.0122880004,0.0122880004,0.0122880004
10,75810,L1,bin_pre_ms,0.03635200115,0.0337920003,0.0378879998,0.029776000399999995,0.04406400025
10,75810,L1,pressure_pre_ms,1.250815985,1.25030398,1.25132799,1.25030398,1.25132799
10,75810,L1,collision_pool_ms,0.397311985,0.396799996,0.397311985,0.396336004,0.397311985
10,75810,L1,relax_ms,0.153600007,0.153600007,0.153600007,0.15360000700000004,0.15360000700000004
10,75810,L1,track_ms,0.103423998,0.103423998,0.104447998,0.102959998,0.104959998
10,75810,L1,bin_post_ms,0.0286720004,0.0286720004,0.0286720004,0.0286720004,0.029184000549999995
10,75810,L1,moments_ms,0.945151985,0.945151985,0.94975999,0.9442079959999999,0.9543679949999999
10,75810,L1,pressure_post_ms,1.248319985,1.24825597,1.248767975,1.247743965,1.2492799800000003
10,75810,L1,compaction_ms,0.0706560016,0.0706560016,0.0706560016,0.06969600175,0.07065600159999999
10,75810,L1,boundary_ms,0.0204799995,0.0204799995,0.0204799995,0.01958400015,0.020479999500000002
10,75810,L1,particle_count,75970.0,75970.0,75970.0,75970.0,75970.0
10,75810,L1,base_particle_count,75969.5,75969.5,75969.5,75969.5,75969.5
10,75810,L1,injected_particle_count,1.0,1.0,1.0,1.0,1.0
10,75810,L1,removed_particle_count,0.0,0.0,0.0,0.0,0.0
10,75810,L1,injection_fraction,1.3167684035200852e-05,1.3167684035200852e-05,1.3167684035200852e-05,1.3167684035200852e-05,1.3167684035200852e-05
10,75810,L1,occupancy_cv,1.9752124248918839,1.9752124248918839,1.9752124248918839,1.9752124248918836,1.9752124248918836
10,75810,L1,occupancy_i2,4.901464453921517,4.901464453921517,4.901464453921517,4.901464453921518,4.901464453921518
10,75810,L1,occupancy_p99,90.0,90.0,90.0,90.0,90.0
10,75810,L1,occupancy_max,230.0,230.0,230.0,230.0,230.0
10,75810,L1,heavy_cell_fraction,0.0,0.0,0.0,0.0,0.0
10,75810,L1,heavy_particle_fraction,0.0,0.0,0.0,0.0,0.0
10,75810,L1,heavy_task_count_estimate,0.0,0.0,0.0,0.0,0.0
10,75810,E1,total_ms,4.78822422,4.78617597,4.79897594,4.766207935,4.8322560800000005
10,75810,E1,gas_flux_ms,0.346624002,0.335871994,0.348159999,0.3353599904999999,0.3583999875
10,75810,E1,eulerian_coupling_ms,0.116736002,0.116736002,0.116736002,0.11673600200000003,0.11673600200000003
10,75810,E1,injection_ms,0.0128000001,0.0122880004,0.0133119998,0.0122880004,0.013311999799999998
10,75810,E1,bin_pre_ms,0.0431040004,0.04147199915,0.0455680005,0.0332800001,0.04710399919999999
10,75810,E1,pressure_pre_ms,1.251839995,1.24979198,1.2522560349999998,1.2492799749999999,1.25542402
10,75810,E1,collision_pool_ms,0.397311985,0.397311985,0.397311985,0.396336004,0.398335993
10,75810,E1,relax_ms,0.153600007,0.153600007,0.153600007,0.15360000700000004,0.15360000700000004
10,75810,E1,track_ms,0.103423998,0.102399997,0.103423998,0.10239999699999999,0.103935998
10,75810,E1,bin_post_ms,0.0204799995,0.0204799995,0.0204799995,0.020479999500000002,0.020479999500000002
10,75810,E1,moments_ms,0.9769119915,0.97587201,0.9774079920000001,0.9722880125,0.989695996
10,75810,E1,pressure_post_ms,1.248767975,1.248287975,1.248767975,1.247743965,1.2492799800000003
10,75810,E1,compaction_ms,0.0706560016,0.0706560016,0.0706560016,0.07019200179999999,0.07065600159999999
10,75810,E1,boundary_ms,0.0204799995,0.0204799995,0.0204799995,0.019455999100000003,0.020479999500000002
10,75810,E1,particle_count,75970.0,75970.0,75970.0,75970.0,75970.0
10,75810,E1,base_particle_count,75969.5,75969.5,75969.5,75969.5,75969.5
10,75810,E1,injected_particle_count,1.0,1.0,1.0,1.0,1.0
10,75810,E1,removed_particle_count,0.0,0.0,0.0,0.0,0.0
10,75810,E1,injection_fraction,1.3167684035200852e-05,1.3167684035200852e-05,1.3167684035200852e-05,1.3167684035200852e-05,1.3167684035200852e-05
10,75810,E1,occupancy_cv,1.9752124248918839,1.9752124248918839,1.9752124248918839,1.9752124248918836,1.9752124248918836
10,75810,E1,occupancy_i2,4.901464453921517,4.901464453921517,4.901464453921517,4.901464453921518,4.901464453921518
10,75810,E1,occupancy_p99,90.0,90.0,90.0,90.0,90.0
10,75810,E1,occupancy_max,230.0,230.0,230.0,230.0,230.0
10,75810,E1,heavy_cell_fraction,0.0,0.0,0.0,0.0,0.0
10,75810,E1,heavy_particle_fraction,0.0,0.0,0.0,0.0,0.0
10,75810,E1,heavy_task_count_estimate,0.0,0.0,0.0,0.0,0.0
10,75810,S1,total_ms,4.820991995,4.8087039,4.837888005,4.796400069999999,4.852736
10,75810,S1,gas_flux_ms,0.360448003,0.360448003,0.365567997,0.35993599900000006,0.37324801050000006
10,75810,S1,eulerian_coupling_ms,0.116736002,0.116736002,0.116736002,0.11574400199999998,0.11673600200000003
10,75810,S1,injection_ms,0.0122880004,0.0122880004,0.0122880004,0.0122880004,0.01239999985
10,75810,S1,bin_pre_ms,0.044032,0.04049599915,0.04403200005,0.033792000249999996,0.0445440002
10,75810,S1,pressure_pre_ms,1.26566398,1.26412797,1.2666080000000002,1.2631039649999998,1.2666879899999999
10,75810,S1,collision_pool_ms,0.397839993,0.397839993,0.3979039935,0.3973919895,0.398335993
10,75810,S1,relax_ms,0.153600007,0.153088003,0.153600007,0.152575999,0.15360000700000004
10,75810,S1,track_ms,0.1029119975,0.1029119975,0.103423998,0.1024159975,0.10342399799999999
10,75810,S1,bin_post_ms,0.0204799995,0.0204799995,0.0204799995,0.020479999500000002,0.020495999600000002
10,75810,S1,moments_ms,0.97587198,0.97331202,0.984063983,0.971855998,0.9953279795000001
10,75810,S1,pressure_post_ms,1.247743965,1.247743965,1.247743965,1.2472319600000001,1.2477439650000002
10,75810,S1,compaction_ms,0.0737280026,0.0727040023,0.0737280026,0.07270400229999999,0.0737280026
10,75810,S1,boundary_ms,0.0204799995,0.0204799995,0.0204799995,0.0195840001,0.020479999500000002
10,75810,S1,particle_count,75970.0,75970.0,75970.0,75970.0,75970.0
10,75810,S1,base_particle_count,75969.5,75969.5,75969.5,75969.5,75969.5
10,75810,S1,injected_particle_count,1.0,1.0,1.0,1.0,1.0
10,75810,S1,removed_particle_count,0.0,0.0,0.0,0.0,0.0
10,75810,S1,injection_fraction,1.3167684035200852e-05,1.3167684035200852e-05,1.3167684035200852e-05,1.3167684035200852e-05,1.3167684035200852e-05
10,75810,S1,occupancy_cv,1.9752124248918839,1.9752124248918839,1.9752124248918839,1.9752124248918836,1.9752124248918836
