multiplier,particle_count_initial,comparison,scope,median,q1,q3,ci95_low,ci95_high,classification
1,7581,L1_over_L0,total,0.327207119282155,0.3246360524077941,0.32799097392594195,0.31796662860523883,0.33071271076754327,negative
1,7581,L1_over_L0,pretransport_chain,0.21505047025155993,0.21411913299691754,0.2150904535858463,0.21387514298245547,0.21522873111800464,negative
1,7581,L1_over_L0,cell_particle_chain,0.0977198693527068,0.09732272099224042,0.09792166429569493,0.09704266840524356,0.098396499375665,negative
1,7581,E1_over_L1,total,1.0008837373906696,0.997421281615409,1.0019108216252608,0.9923835070673717,1.0037061499925284,inconclusive
1,7581,E1_over_L1,pretransport_chain,1.0002865145389244,0.9965695203003003,1.0012251209148577,0.9908731037529795,1.0024330303354738,inconclusive
1,7581,E1_over_L1,cell_particle_chain,0.9978339103566053,0.9930526019911491,1.0007243781689086,0.9881166698095474,1.002172434088674,inconclusive
1,7581,S1_over_E1,total,0.9921848900577553,0.9918357128158534,0.9951939611740709,0.9912109538096127,0.995872832304269,negative
1,7581,S1_over_E1,pretransport_chain,0.9914869982803701,0.9900602491091468,0.9918706983937222,0.9866870318287168,0.9924012334615654,negative
1,7581,S1_over_E1,cell_particle_chain,0.9988759558730141,0.9977487654515894,1.000056289292933,0.9942047130331927,1.0003623176051595,inconclusive
1,7581,S1_over_L0,total,0.32414946948555645,0.32239768070229596,0.32684139964471115,0.31466814602504467,0.3283025542888636,negative
1,7581,S1_over_L0,pretransport_chain,0.21211518019784212,0.21149892094110553,0.21289521730357888,0.21114456619926777,0.2136778127704649,negative
1,7581,S1_over_L0,cell_particle_chain,0.09711793359693185,0.09689328956455444,0.09725896153617311,0.0966778219135008,0.0978260867688396,negative
10,75810,L1_over_L0,total,0.36181439910330665,0.3607609257117342,0.3636299254572308,0.3516033952880747,0.3644980378126351,negative
10,75810,L1_over_L0,pretransport_chain,0.29848025345238366,0.2976913825056106,0.298721065836264,0.2975941601777285,0.29983507716557917,negative
10,75810,L1_over_L0,cell_particle_chain,0.1999275674703202,0.19970898626131484,0.20080459114397153,0.19819030093953144,0.20189504965060484,negative
10,75810,E1_over_L1,total,0.9931536627141605,0.9904146216661381,0.9978381188692306,0.9840008499715106,0.9987067846626448,negative
10,75810,E1_over_L1,pretransport_chain,0.9950949784492366,0.993629364434508,0.9994988145327879,0.9882894758326,1.0030469224929168,inconclusive
10,75810,E1_over_L1,cell_particle_chain,0.9778391331704072,0.9765216438420434,0.9904258393672943,0.9634645878106746,0.9931654522258457,negative
10,75810,S1_over_E1,total,0.9919568074002987,0.9911626987471615,0.9932031052874627,0.9862840199837782,1.0074756086808248,inconclusive
10,75810,S1_over_E1,pretransport_chain,0.9911990813488067,0.9889591101060875,0.9916887424442192,0.9876246046993806,1.0014624405616463,inconclusive
10,75810,S1_over_E1,cell_particle_chain,0.9938665283812718,0.9933297330691254,0.999599391099574,0.9880989095469008,1.0203815573865884,inconclusive
10,75810,S1_over_L0,total,0.3570373414090526,0.354429039743759,0.35889046109067435,0.34774276286797356,0.36048701938243444,negative
10,75810,S1_over_L0,pretransport_chain,0.2948272209705828,0.29411380220274946,0.29490315152847,0.293973863652934,0.29675720726764604,negative
10,75810,S1_over_L0,cell_particle_chain,0.1962141585216605,0.19610403037213606,0.1973432837628174,0.19269919513771122,0.19741129407720387,negative
100,758100,L1_over_L0,total,0.9924667358759797,0.992356464780012,0.9930187669126468,0.9920303815247313,0.9933906181781665,negative
100,758100,L1_over_L0,pretransport_chain,1.5319693843066675,1.5315776722268708,1.5324975097068751,1.5310504191931025,1.5326998474015825,positive
100,758100,L1_over_L0,cell_particle_chain,1.1666991423978985,1.1666396064676217,1.1679647089541492,1.1660665265123686,1.1685619743222389,positive
100,758100,E1_over_L1,total,1.0313826659164147,1.028823962552649,1.0323763646585438,1.02691814003745,1.0343231384385856,positive
100,758100,E1_over_L1,pretransport_chain,1.0636388305360653,1.0634013594998324,1.0639455728384297,1.0627376243671407,1.065130436681271,positive
100,758100,E1_over_L1,cell_particle_chain,1.145842613092953,1.1456223889460235,1.1467698713536165,1.138966867229292,1.1474530870396884,positive
100,758100,S1_over_E1,total,0.9992289153491577,0.9988483591702193,0.9999276384836742,0.997512592720231,1.0030301158368893,inconclusive
100,758100,S1_over_E1,pretransport_chain,1.0149294739778976,1.012929843620661,1.0168787884077686,1.009982720924102,1.0171778391620951,positive
100,758100,S1_over_E1,cell_particle_chain,1.0143928006949225,1.0132810002390045,1.0194233584521295,1.0111412247671816,1.021276598651064,positive
100,758100,S1_over_L0,total,1.023775837061389,1.019897649903822,1.0250949218320873,1.0161999879025587,1.0295274162749597,positive
100,758100,S1_over_L0,pretransport_chain,1.6568980011182155,1.6481430970006712,1.6574433222494631,1.645307790603601,1.657653971509075,positive
100,758100,S1_over_L0,cell_particle_chain,1.3579837043078637,1.3514190169030973,1.3639226247900589,1.3472263776025017,1.367477218753013,positive
500,3790500,L1_over_L0,total,1.4945135653251118,1.4933959776788612,1.4983923243636637,1.489586770140732,1.500352057797032,positive
500,3790500,L1_over_L0,pretransport_chain,3.9595208725013054,3.9527536042601734,3.9677957193640423,3.945812743743031,3.9709190995633663,positive
500,3790500,L1_over_L0,cell_particle_chain,2.3333454921264685,2.331434906747679,2.334701617503309,2.3296781569586575,2.335556228755979,positive
500,3790500,E1_over_L1,total,1.0462267270559165,1.0409830520588494,1.0464023101254099,1.040053977439138,1.0514876134239288,positive
500,3790500,E1_over_L1,pretransport_chain,1.1758134833606524,1.173153323572121,1.1774979014780957,1.1730337589292064,1.178346033359358,positive
