case,mean_ppc,particles,comparison,median,ci95_low,ci95_high,estimate_kind,distribution_note,median_crossover_ppc
Nozzle,0.9975,7581,S1_over_L0,0.3241494694855564,0.3146681460250446,0.3283025542888636,direct_paired,strongly nonuniform; occupancy CV = 1.975,95.19316640280991
Nozzle,9.975,75810,S1_over_L0,0.3570373414090526,0.3477427628679735,0.3604870193824344,direct_paired,strongly nonuniform; occupancy CV = 1.975,95.19316640280991
Nozzle,99.75,758100,S1_over_L0,1.023775837061389,1.0161999879025587,1.0295274162749597,direct_paired,strongly nonuniform; occupancy CV = 1.975,95.19316640280991
Nozzle,498.75,3790500,S1_over_L0,1.582540925000246,1.5772109406550947,1.5915202019222312,direct_paired,strongly nonuniform; occupancy CV = 1.975,95.19316640280991
Nozzle,997.5,7581000,S1_over_L0,1.713876471460825,1.6995568368272536,1.7213670441352829,direct_paired,strongly nonuniform; occupancy CV = 1.975,95.19316640280991
Nozzle,1246.875,9476250,S1_over_L0,1.712978663909413,1.701797363403254,1.7210691731094776,direct_paired,strongly nonuniform; occupancy CV = 1.975,95.19316640280991
Taylor-Green,4.0,131072,S1_over_L0,0.3961821358043082,0.39061575617981,0.4010754282293233,E1_anchor_chained,near-uniform,91.3192799688743
Taylor-Green,8.0,262144,S1_over_L0,0.4369846413905573,0.4284120046147965,0.4447643529613988,E1_anchor_chained,near-uniform,91.3192799688743
Taylor-Green,16.0,524288,S1_over_L0,0.5266782784114351,0.5258547506370674,0.5299847779188585,E1_anchor_chained,near-uniform,91.3192799688743
Taylor-Green,32.0,1048576,S1_over_L0,0.6843686617159546,0.6754737002150112,0.6910370439455644,E1_anchor_chained,near-uniform,91.3192799688743
Taylor-Green,64.0,2097152,S1_over_L0,0.8962746151705122,0.8919380196466999,0.9030120610758025,E1_anchor_chained,near-uniform,91.3192799688743
Taylor-Green,96.0,3145728,S1_over_L0,1.0177716794535128,0.9890825302600824,1.0597317066360663,E1_anchor_chained,near-uniform,91.3192799688743
Taylor-Green,192.0,6291456,S1_over_L0,1.219319263268826,1.190871488014145,1.2497676764661978,E1_anchor_chained,near-uniform,91.3192799688743
Taylor-Green,384.0,12582912,S1_over_L0,1.4025163059511314,1.2669089262708984,1.471113170325375,E1_anchor_chained,near-uniform,91.3192799688743
Taylor-Green,768.0,25165824,S1_over_L0,1.395274441428304,1.3607440133783588,1.4338153000170792,E1_anchor_chained,near-uniform,91.3192799688743
Taylor-Green,960.0,31457280,S1_over_L0,1.5071670377452966,1.4760582400355051,1.5390498709795,E1_anchor_chained,near-uniform,91.3192799688743
