particle_count,comparison,median,ci95_low,ci95_high,classification
7581,L1_over_L0,0.327207119282155,0.31796662860523883,0.33071271076754327,negative
7581,T1_over_L1,1.0008837373906696,0.9923835070673717,1.0037061499925284,inconclusive
7581,S1_over_T1,0.9921848900577553,0.9912109538096127,0.995872832304269,negative
7581,S1_over_L0,0.32414946948555645,0.31466814602504467,0.3283025542888636,negative
75810,L1_over_L0,0.36181439910330665,0.3516033952880747,0.3644980378126351,negative
75810,T1_over_L1,0.9931536627141605,0.9840008499715106,0.9987067846626448,negative
75810,S1_over_T1,0.9919568074002987,0.9862840199837782,1.0074756086808248,inconclusive
75810,S1_over_L0,0.3570373414090526,0.34774276286797356,0.36048701938243444,negative
758100,L1_over_L0,0.9924667358759797,0.9920303815247313,0.9933906181781665,negative
758100,T1_over_L1,1.0313826659164147,1.02691814003745,1.0343231384385856,positive
758100,S1_over_T1,0.9992289153491577,0.997512592720231,1.0030301158368893,inconclusive
758100,S1_over_L0,1.023775837061389,1.0161999879025587,1.0295274162749597,positive
3790500,L1_over_L0,1.4945135653251118,1.489586770140732,1.500352057797032,positive
3790500,T1_over_L1,1.0462267270559165,1.040053977439138,1.0514876134239288,positive
3790500,S1_over_T1,1.0136803265924528,1.0070497533046585,1.01900266186651,positive
3790500,S1_over_L0,1.582540925000246,1.5772109406550947,1.5915202019222312,positive
7581000,L1_over_L0,1.5994618901169084,1.5980051272411995,1.6068570842198977,positive
7581000,T1_over_L1,1.0533515470223513,1.047087417728594,1.0546556086286019,positive
7581000,S1_over_T1,1.0170045474248053,1.0147604215699797,1.0176686446779748,positive
7581000,S1_over_L0,1.713876471460825,1.6995568368272536,1.7213670441352829,positive
9476250,L1_over_L0,1.6000896424959141,1.5963577716883355,1.6149614690600231,positive
9476250,T1_over_L1,1.047025920828464,1.0391953999553325,1.0538786588766116,positive
9476250,S1_over_T1,1.0172749436315947,1.009168149882576,1.028725506939748,positive
9476250,S1_over_L0,1.7129786639094127,1.701797363403254,1.7210691731094776,positive
