particle_count,comparison,component,saving_median_ms,saving_ci95_low_ms,saving_ci95_high_ms
7581,T1_over_L1,total,0.004016154999999522,-0.03481602500000047,0.016895775000000057
7581,T1_over_L1,bin_pre,0.0005120001499999971,-0.0067680012500000025,0.002031998749999993
7581,T1_over_L1,bin_post,0.0,-0.0010239984,0.0
7581,T1_over_L1,collision,-0.0005120040000000103,-0.003072009000000042,0.0010240080000000207
7581,S1_over_T1,total,-0.03587198000000047,-0.04046392500000007,-0.01894403000000011
7581,S1_over_T1,bin_pre,-0.0015359986999999992,-0.004111999650000003,0.00011200085000000193
7581,S1_over_T1,bin_post,0.0,0.0,0.0010239984
7581,S1_over_T1,collision,-0.0020800084999999524,-0.0030720079999999594,0.0
75810,T1_over_L1,total,-0.032767774999999943,-0.07731199000000011,-0.006192204999999618
75810,T1_over_L1,bin_pre,-0.009312000100000002,-0.015792000100000002,0.004607999700000004
75810,T1_over_L1,bin_post,0.008192000900000003,0.008192000900000001,0.008704001049999998
75810,T1_over_L1,collision,0.0,-0.00199998899999998,0.00046399199999996865
75810,S1_over_T1,total,-0.038912064999999885,-0.06656002999999977,0.035856010000000715
75810,S1_over_T1,bin_pre,-0.0009279996499999971,-0.007215999050000005,0.011776000250000002
75810,S1_over_T1,bin_post,0.0,-1.600009999999999e-05,0.0
75810,S1_over_T1,collision,-0.0005280080000000242,-0.00199998899999998,0.0009440035000000124
758100,T1_over_L1,total,0.2498562350000002,0.21555185000000066,0.27340769000000087
758100,T1_over_L1,bin_pre,0.1223680037,0.1218559969,0.1228800039
758100,T1_over_L1,bin_post,0.1300480031,0.1295359993,0.1310720036
758100,T1_over_L1,collision,-0.0005120040000000103,-0.0015359970000000112,0.0
758100,S1_over_T1,total,-0.00614380499999978,-0.019968030000001136,0.024064065000001023
758100,S1_over_T1,bin_pre,0.03788799975,0.029695998850000006,0.038911998200000006
758100,S1_over_T1,bin_post,0.0,-0.0010240002999999942,0.0010240002999999942
758100,S1_over_T1,collision,-0.0051200090000000364,-0.006144017000000002,-0.003071992999999995
3790500,T1_over_L1,total,1.0992641499999998,0.9569273500000008,1.2200966000000015
3790500,T1_over_L1,bin_pre,0.556032002,0.5529599785000002,0.5647360080000002
3790500,T1_over_L1,bin_post,0.5657600164999999,0.561199993,0.587807983
3790500,T1_over_L1,collision,0.0015359819999999358,-0.0020480155,0.00507202750000002
3790500,S1_over_T1,total,0.3199996999999968,0.16588780000000014,0.44288059999999874
3790500,S1_over_T1,bin_pre,0.32153599159999996,0.28006399065,0.32255999960000004
3790500,S1_over_T1,bin_post,0.0005120040000000103,-0.0010240080000000207,0.0010240080000000207
3790500,S1_over_T1,collision,0.034815967000000114,0.030768007499999972,0.03686401200000011
7581000,T1_over_L1,total,2.3761920999999973,2.1032962499999996,2.4340476999999936
7581000,T1_over_L1,bin_pre,1.0639359955,1.0588160205000001,1.074688018
7581000,T1_over_L1,bin_post,1.099775969,1.086463986,1.107968032
7581000,T1_over_L1,collision,0.004608035000000177,0.0005120100000000072,0.00972795500000001
7581000,S1_over_T1,total,0.7455044000000015,0.6497268500000004,0.7720965999999976
7581000,S1_over_T1,bin_pre,0.72294398965,0.6894719899500001,0.72550400145
7581000,S1_over_T1,bin_post,0.007680028999999977,0.005120008999999981,0.010751963000000031
7581000,S1_over_T1,collision,0.08601599999999987,0.08396804000000002,0.09011196999999993
9476250,T1_over_L1,total,2.6173439000000016,2.189825049999996,2.9839363499999934
9476250,T1_over_L1,bin_pre,1.329664052,1.309184015,1.3429760314999997
9476250,T1_over_L1,bin_post,1.335295973,1.3025279079999998,1.344511986
9476250,T1_over_L1,collision,0.004096030000000139,-0.0035840299999998493,0.014335990000000187
9476250,S1_over_T1,total,0.9451522499999996,0.5012492999999978,1.5600643500000047
9476250,S1_over_T1,bin_pre,0.9216000006,0.9200639891000002,0.9246720245999999
9476250,S1_over_T1,bin_post,0.002047955999999962,0.0005120040000000659,0.0056319835000000484
9476250,S1_over_T1,collision,0.1315839299999999,0.1233920449999999,0.1361919599999999
