multiplier,particle_count,cell_count,nonempty_cell_count,nonempty_cell_fraction,mean_occupancy,occupancy_std,occupancy_cv,occupancy_i2,occupancy_p50,occupancy_p90,occupancy_p95,occupancy_p99,occupancy_max,heavy_threshold,heavy_tile_particles,heavy_cell_count,heavy_cell_fraction,heavy_particle_count,heavy_particle_fraction,heavy_task_count_estimate
1,7581,7600,3052,0.40157894736842104,0.9975,1.969736574025225,1.9746732571681453,4.8993344725750525,0.0,3.0,4.0,9.0,22,1024,1024,0,0.0,0,0.0,0
10,75810,7600,3052,0.40157894736842104,9.975,19.697365740252252,1.9746732571681456,4.899334472575053,0.0,30.0,40.0,90.0,220,1024,1024,0,0.0,0,0.0,0
100,758100,7600,3052,0.40157894736842104,99.75,196.97365740252252,1.9746732571681456,4.899334472575053,0.0,300.0,400.0,900.0,2200,1024,1024,55,0.007236842105263158,84700,0.11172668513388735,114
500,3790500,7600,3052,0.40157894736842104,498.75,984.8682870126127,1.9746732571681456,4.899334472575053,0.0,1500.0,2000.0,4500.0,11000,1024,1024,948,0.12473684210526316,2318000,0.6115288220551378,2645
1000,7581000,7600,3052,0.40157894736842104,997.5,1969.7365740252253,1.9746732571681456,4.899334472575053,0.0,3000.0,4000.0,9000.0,22000,1024,1024,1789,0.23539473684210527,6318000,0.8333992876929165,6318
1250,9476250,7600,3052,0.40157894736842104,1246.875,2462.1707175315314,1.9746732571681456,4.899334472575053,0.0,3750.0,5000.0,11250.0,27500,1024,1024,3052,0.40157894736842104,9476250,1.0,11072
