factor,initial_refined_cell_parcels,initial_total_parcels,measured_median_max_cell_parcels,s1_over_s2,s1_over_s2_ci95_low,s1_over_s2_ci95_high,s1_over_newS2,s1_over_newS2_ci95_low,s1_over_newS2_ci95_high,s2_over_newS2,s2_over_newS2_ci95_low,s2_over_newS2_ci95_high
1,11000,3790500,11498.5,0.97840861249774469,0.97455069858224674,0.98948510225824715,1.006871442398848,0.9612861255953666,1.014462965796834,1.025243294195719,0.9788262061758133,1.037175726074944
2,22000,3801500,17999,0.98533036257206474,0.97847153429737921,0.99041931304747588,1.023420005675387,0.9799226009310996,1.02800825504333,1.036589170570423,0.9925320498811597,1.042346880993611
4,44000,3823500,32000,0.99458154770452711,0.98788245750752368,1.0052323745445979,1.027995969517343,1.026301796995739,1.033991141014661,1.031951914040005,1.025028999981401,1.040605551505619
8,88000,3867500,60999.5,1.032769234476633,1.0311678771084911,1.0368664447108054,1.049615850200269,1.041451651307007,1.051607386043268,1.015631468938552,1.009972938865545,1.017687489210892
16,176000,3955500,118994,1.0895552454654851,1.0863352471401682,1.0997001121360879,1.099080539052543,1.092487562291163,1.103205367615954,1.005474192012271,1.00022468024209,1.011732374463526
32,352000,4131500,235001,1.1604585048844029,1.1561175723310098,1.1689516231539401,1.156959165338365,1.150536742474556,1.192130259797505,0.9969845198847618,0.9925888457168195,1.019828567910301
64,704000,4483500,467016.5,1.2196086270824962,1.2054622790377019,1.2338319129121604,1.225869448850256,1.214740714039848,1.241257473212416,1.006018291651031,1.000903112300902,1.012535406132397
