x_m,particle_count,mean_u_p,mean_T_p,covariance_uT,selected,T_p_numerical,T_p_published
0.005,2000,1.791707758545244e-06,1.078133447989874,1.9932659940550993e-05,0,1.0781334479899,1.0851236750608702
0.015,2000,5.587888200971669e-06,1.0781329303657785,2.1306354268930613e-05,0,1.0781329303658,1.08455570611655
0.025,1999,0.0007226932237630973,1.0781463944636176,2.5136019206811527e-06,0,1.0781463944636,1.083202469985619
0.035,2000,1.2801108702519987e-05,1.078117944171008,4.220922741876103e-05,0,1.078117944171,1.0859674766979448
0.045,2000,1.7882132695639374e-05,1.0781160411428323,8.279674611756562e-05,0,1.0781160411428,1.0878484791328362
0.055,2000,2.4476300542327967e-05,1.078113475610583,8.472800496667045e-05,0,1.0781134756106,1.0852176217371998
0.065,2000,3.205593790645191e-05,1.0780967931918777,0.00010428176001930647,0,1.0780967931919,1.0838447074464188
0.075,1999,0.0006959050030759754,1.0780804743263208,0.00012136556515336358,0,1.0780804743263,1.083218764372883
0.085,2000,5.432663788246212e-05,1.0780473831583355,0.00015991839083200835,0,1.0780473831583,1.0851892964676335
0.095,1999,0.0006816904732306397,1.0780279052181017,0.00017893135172013447,0,1.0780279052181,1.0849530002263177
0.105,1999,0.0008581479432103363,1.0779960721119326,0.00020508174534153065,0,1.0779960721119,1.0855834860180185
0.115,1998,0.001268172887522121,1.077968524360459,0.00023696790126601693,0,1.0779685243605,1.0840707268737815
0.125,1999,0.0007471701646047535,1.0779016872780327,0.0003030123234226531,0,1.077901687278,1.0845838662097347
0.135,1997,0.0019534819088515994,1.0778739921311395,0.00032046142825818084,0,1.0778739921311,1.0846479394991864
0.145,1999,0.0007736753348984789,1.0777660377048872,0.0004274132047896261,0,1.0777660377049,1.084292734296054
0.155,1997,0.0020905808600468006,1.0777173674062897,0.0004540869524897067,0,1.0777173674063,1.0831302701899914
0.165,1995,0.0031592261899840587,1.0776421190325698,0.0005104715564395526,0,1.0776421190326,1.0841750612302656
0.175,1993,0.004291192119378251,1.0775437518790207,0.0005767874855301574,0,1.077543751879,1.085424553523516
0.185,1995,0.0031727366294469162,1.0773436488596246,0.0007380048194114007,0,1.0773436488596,1.0846876067451603
0.195,1992,0.004880291342511645,1.0772118935455397,0.0008030223621317521,0,1.0772118935455,1.0851978512019058
0.205,1991,0.005474680673853561,1.0769536592574174,0.0009569193068932292,0,1.0769536592574,1.0829871593106406
0.215,1989,0.006628034522209602,1.0766255547110946,0.0011127897933928379,0,1.0766255547111,1.0837302632767032
0.225,1985,0.008018349298799354,1.0761274620050951,0.0013483172261721244,0,1.0761274620051,1.083578749833706
0.235,1980,0.012709622327140626,1.075609022280027,0.0014298337722981457,0,1.07560902228,1.0816820222737729
0.245,1977,0.014247997848259416,1.074631933151647,0.0017867842444702093,0,1.0746319331516,1.0819101460610632
0.255,1962,0.01830829231600283,1.0733506375572173,0.0021101853739738732,0,1.0733506375572,1.0764304543891572
0.265,1951,0.02440176096045686,1.0715790942551298,0.002535412879587664,0,1.0715790942551,1.0718461001398405
