state,time_s,particle_count,gas_mass,solid_mass,gas_energy,solid_resolved_energy,solid_granular_energy,solid_energy,mixture_energy,gas_momentum_x,solid_momentum_x,total_momentum_x,gas_momentum_y,solid_momentum_y,total_momentum_y,gas_momentum_z,solid_momentum_z,total_momentum_z,gas_energy_normalized,solid_energy_normalized,mixture_energy_normalized,total_momentum_relative_drift,gas_mass_relative_drift,solid_mass_relative_drift,max_field_relative_l2_vs_L0,mixture_energy_relative_difference_vs_L0
L0,0.0,524288,288.99362367340905,2480.502134423986,903.1050739794033,7751.569170074954,0.0,7751.569170074954,8654.674244054357,288.993623673403,2480.502134424031,2769.4957580974337,144.49681183670896,1240.2510672119802,1384.7478790486891,72.24840591834983,620.1255336064771,692.3739395248269,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
L0,0.0025,524288,288.99362367340905,2480.502134423986,886.4999801157035,7704.801642959072,46.567511262353484,7751.369154221425,8637.869134337128,288.99368097373696,2480.5021301723186,2769.4958111460555,144.49679475627642,1240.2510783293499,1384.7478730856262,72.2484026615079,620.1255373783275,692.3739400398354,0.9816133312256436,0.9999741967272509,0.9980582620161847,1.6825598346590188e-08,0.0,0.0,0.0,0.0
L0,0.005,524288,288.99362682005085,2480.502134423986,870.4338227507021,7704.29001604185,46.63157335661657,7750.9215893984665,8621.355412149169,288.9941379666131,2480.501975660972,2769.496113627585,144.4967430868274,1240.2510452384772,1384.7477883253046,72.24840127003962,620.1255686600172,692.3739699300568,0.9638234219139751,0.999916458118056,0.9961501922584692,1.160407300583753e-07,1.088827415025568e-08,0.0,0.0,0.0
L0,0.0075,524288,288.9936531456845,2480.502134423986,854.5866389754581,7702.137381904412,48.055987121157756,7750.19336902557,8604.780008001027,288.995114311364,2480.50007254966,2769.495186861024,144.49673854923304,1240.250956812126,1384.747695361359,72.24840389272632,620.1256208896593,692.3740247823856,0.946275980058272,0.9998225132203302,0.9942349954895638,1.9101719906843825e-07,1.0198244197516118e-07,0.0,0.0,0.0
L0,0.01,524288,288.99370269542413,2480.502134423986,839.201906244834,7699.42781539444,49.734018123560276,7749.161833518,8588.363739762834,288.99727019633536,2480.4955716139743,2769.4928418103095,144.49714050838904,1240.2502495094031,1384.7473900177922,72.24835081170565,620.1257817857961,692.3741325975018,0.9292406060205275,0.9996894388085644,0.9923381859996547,9.339541513716909e-07,2.734386111419582e-07,0.0,0.0,0.0
L0,0.0125,524288,288.9937680688674,2480.502134423986,824.0594156291577,7696.537891637529,51.26462951780531,7747.802521155335,8571.861936784493,289.0003990347542,2480.488695159257,2769.489094194011,144.49807203503522,1240.248792588295,1384.74686462333,72.24829776973304,620.1260285160517,692.3743262857848,0.9124734644641711,0.9995140791706846,0.9904314934410438,2.127975294635677e-06,4.996492881043369e-07,0.0,0.0,0.0
L0,0.015,524288,288.99384616114776,2480.502134423986,809.129256758305,7693.129649192635,52.96064440166183,7746.090293594297,8555.219550352604,289.0068467842023,2480.477923935574,2769.4847707197764,144.49966606573963,1240.246199293326,1384.7458653590656,72.24824624032827,620.1263462497084,692.3745924900367,0.8959414359095479,0.9992931913061154,0.9885085572377172,3.526617475735675e-06,7.698707531420485e-07,0.0,0.0,0.0
L0,0.0175,524288,288.99393145887825,2480.502134423986,794.4433389657856,7689.0869232253535,54.917930475315465,7744.004853700669,8538.448192666456,289.0146724756755,2480.4651804400437,2769.479852915719,144.50218719942225,1240.2425313983022,1384.7447185977244,72.24828440674438,620.1265748773594,692.3748592841038,0.8796798532702123,0.9990241567599645,0.9865707191154252,5.119111848768747e-06,1.0650251216323162e-06,0.0,0.0,0.0
L0,0.02,524288,288.9940341148449,2480.502134423986,779.8821545959472,7684.894788547594,56.63088049570026,7741.525669043294,8521.407823639242,289.02371017227335,2480.4519982264765,2769.4757083987497,144.50385222732805,1240.2406057139788,1384.7444579413068,72.24827754984896,620.1268758462552,692.3751533961041,0.8635563868105713,0.9987043267225902,0.9846017982124899,6.421870018969889e-06,1.4202439162623683e-06,0.0,0.0,0.0
L0,0.0225,524288,288.99413150244084,2480.502134423986,765.6374888186438,7680.8527786725945,57.79442230609668,7738.647200978691,8504.284689797334,289.03474634082926,2480.436883398099,2769.471629738928,144.5044463543989,1240.2393028527697,1384.7437492071685,72.24828718816104,620.1271325890632,692.3754197772242,0.8477833984975544,0.9983329866749886,0.9826233142905016,7.729300097478522e-06,1.7572326521764143e-06,0.0,0.0,0.0
