factor,initial_refined_cell_parcels,initial_total_parcels,measured_median_max_cell_parcels,collision_pool_s1_ms,collision_pool_s2_ms,moments_s1_ms,moments_s2_ms,total_s1_ms,total_s2_ms
1,11000,3790500,11498.5,0.73932799699999996,0.88319999000000005,1.6235519649999999,1.84985602,25.057791700000003,25.515008000000002
2,22000,3801500,17999,0.75264000900000005,0.88831999899999992,1.6261119850000001,1.8897919650000001,25.664000549999997,25.994239800000003
4,44000,3823500,32000,0.96460801350000003,0.88115200400000004,1.8631679999999999,1.8856960549999999,27.674112350000001,27.780608149999999
8,88000,3867500,60999.5,1.3788320449999998,0.88166397799999996,2.63679993,1.8534400499999999,32.385536200000004,31.336959799999999
16,176000,3955500,118994,2.2348799699999997,0.89139199250000001,4.257279875,1.8503680249999999,42.352127100000004,38.745086700000002
32,352000,4131500,235001,3.9577599750000001,0.92059201000000002,7.4757120600000002,1.900063995,62.467056299999996,53.829633749999999
64,704000,4483500,467016.5,7.3461759099999995,0.98303997499999995,14.325248250000001,2.0193279999999998,103.5601925,84.987392449999987
