factor,initial_refined_cell_parcels,initial_total_parcels,measured_median_max_cell_parcels,median_speedup,ci95_low,ci95_high,classification
1,11000,3790500,11498.5,0.97840861249774469,0.97455069858224674,0.98948510225824715,negative
2,22000,3801500,17999,0.98533036257206474,0.97847153429737921,0.99041931304747588,negative
4,44000,3823500,32000,0.99458154770452711,0.98788245750752368,1.0052323745445979,inconclusive
8,88000,3867500,60999.5,1.032769234476633,1.0311678771084911,1.0368664447108054,positive
16,176000,3955500,118994,1.0895552454654851,1.0863352471401682,1.0997001121360879,positive
32,352000,4131500,235001,1.1604585048844029,1.1561175723310098,1.1689516231539401,positive
64,704000,4483500,467016.5,1.2196086270824962,1.2054622790377019,1.2338319129121604,positive
