load_id,parcels_per_cell,n_cells,n_particles,L0_total_median_ms,L0_total_ci95_low_ms,L0_total_ci95_high_ms,L0_bin_pre_median_ms,L0_bin_pre_ci95_low_ms,L0_bin_pre_ci95_high_ms,L0_external_elapsed_median_s,L0_external_elapsed_ci95_low_s,L0_external_elapsed_ci95_high_s,L1_total_median_ms,L1_total_ci95_low_ms,L1_total_ci95_high_ms,L1_bin_pre_median_ms,L1_bin_pre_ci95_low_ms,L1_bin_pre_ci95_high_ms,L1_external_elapsed_median_s,L1_external_elapsed_ci95_low_s,L1_external_elapsed_ci95_high_s,E1_total_median_ms,E1_total_ci95_low_ms,E1_total_ci95_high_ms,E1_bin_pre_median_ms,E1_bin_pre_ci95_low_ms,E1_bin_pre_ci95_high_ms,E1_external_elapsed_median_s,E1_external_elapsed_ci95_low_s,E1_external_elapsed_ci95_high_s,S1_total_median_ms,S1_total_ci95_low_ms,S1_total_ci95_high_ms,S1_bin_pre_median_ms,S1_bin_pre_ci95_low_ms,S1_bin_pre_ci95_high_ms,S1_external_elapsed_median_s,S1_external_elapsed_ci95_low_s,S1_external_elapsed_ci95_high_s,L0_dpre_executed,L0_bin_pre_corrected_median_ms,L1_bin_pre_corrected_median_ms,E1_bin_pre_corrected_median_ms,S1_bin_pre_corrected_median_ms,occupancy_mean,occupancy_cv,occupancy_p99,occupancy_max
m32_ppc4,4,32768,131072,5.272576095,5.271039965,5.279744145,0.001024,0.0010240000000000002,0.001535999995,3.93,3.79,5.090000000000001,13.30943965,13.30329605,13.474287999999998,0.0245760009,0.0245760009,0.0255999994,7.82,7.58,8.239999999999998,13.3053436,13.2807679,13.321727750000003,0.0255999994,0.0255999994,0.026111999549999997,7.73,7.659999999999999,9.180000000000001,13.23878385,13.165056249999997,13.250047649999999,0.00409599999,0.00307200011,0.00409599999,7.5,7.42,8.61,False,0.0,0.023552000899999998,0.0245759994,0.00307199999,4.0,0.11040770999299629,5.0,5.0
m32_ppc8,8,32768,262144,6.14758396,6.1449918750000005,6.149120089999999,0.001024,0.0010240000000000002,0.00204799999,4.3,4.269999999999999,4.39,14.0656638,14.04566385,14.164991850000002,0.0389119983,0.0378880017,0.03951999915,8.12,8.069999999999999,8.42,14.052352,14.03596785,14.222847949999998,0.0348160006,0.03387200084999999,0.0348160006,8.33,8.0,9.710000000000003,14.113791899999999,14.064127899999999,14.13529635,0.00409599999,0.00307200011,0.00409599999,8.03,7.980000000000001,9.19,False,0.0,0.0378879983,0.033792000600000004,0.00307199999,8.0,0.0871365166040961,10.0,10.0
m32_ppc16,16,32768,524288,7.88787222,7.883264065000001,7.894527914999999,0.001024,0.0010240000000000002,0.0010240000000000002,7.05,5.85,7.33,15.0384636,15.037440300000004,15.049728399999998,0.0798719972,0.07987199720000002,0.07987199720000002,9.23,9.2,9.349999999999998,14.99801585,14.976511949999999,15.00262405,0.0501759984,0.0501759984,0.0501759984,9.22,9.150000000000002,9.72,14.97958375,14.969344150000003,14.994432399999999,0.00310399989,0.00307200011,0.003183999915,9.06,8.97,10.120000000000001,False,0.0,0.0788479972,0.0491519984,0.00207999989,16.0,0.06940476295168985,19.0,20.0
m32_ppc32,32,32768,1048576,11.48108815,11.4565125,11.511807950000001,0.001024,0.0010240000000000002,0.0010240000000000002,8.42,8.349999999999998,9.66,16.986111649999998,16.9774084,17.01734355,0.163839996,0.16383999600000002,0.1653760005,11.04,10.92,12.44,16.8663044,16.7997437,16.958975799999997,0.0829439983,0.0829439983,0.08396799860000001,12.3,10.849999999999998,12.41,16.765439999999998,16.6737919,16.786944400000003,0.00409599999,0.00307200011,0.00409599999,11.67,10.629999999999999,13.930000000000001,False,0.0,0.162815996,0.0819199983,0.00307199999,32.0,0.04799442088291312,36.0,39.0
m32_ppc64,64,32768,2097152,18.85542395,18.78374385,18.905600550000003,0.001024,0.0010240000000000002,0.00204799999,14.88,13.8,16.15,21.5577593,21.43795205,21.62841605,0.305151999,0.303104013,0.30720001499999994,15.42,14.88,16.18,21.19628815,21.0099201,21.28127955,0.159743994,0.15872000199999997,0.159743994,15.01,14.800000000000002,15.889999999999997,20.77644825,20.773887600000002,20.79334355,0.00409599999,0.00307200011,0.00409599999,15.37,14.169999999999998,15.62,False,0.0,0.304127999,0.158719994,0.00307199999,64.0,0.039351830477169336,72.0,76.0
m32_ppc96,96,32768,3145728,27.95417595,27.34848025,29.190655699999997,0.00204799999,0.00204799999,0.00204799999,20.72,20.050000000000004,21.18,28.37913605,28.09548855,29.298175800000006,0.523263991,0.5207040010000001,0.5329920049999999,21.07,20.4,22.229999999999997,27.7637119,26.8743677,28.13542365,0.332800001,0.33280000099999996,0.3338240089999999,20.94,20.389999999999997,22.9,25.52166465,25.2933121,25.619456300000003,0.00307200011,0.00307200011,0.00409599999,19.42,18.03,19.78,False,0.0,0.5212159910099999,0.33075200101,0.0010240001200000001,96.0,0.036309707655799356,107.5,113.5
