load_id,parcels_per_cell,n_particles,measurement,comparison,median_speedup,q1,q3,ci95_low,ci95_high,classification
m32_ppc4,4,131072,gpu_step,L1_over_L0,0.39615312392208785,0.39440004850387955,0.39618283490774975,0.39183845150111096,0.3964900194790447,negative
m32_ppc4,4,131072,gpu_step,E1_over_L1,1.0021588924839202,1.0003849963998448,1.0032260380039668,0.9999230661131685,1.0126974849413133,inconclusive
m32_ppc4,4,131072,gpu_step,E1_over_L0,0.3966426667091186,0.39615235502236434,0.3968138143384738,0.39567239804911936,0.3970083759238047,negative
m32_ppc4,4,131072,gpu_step,S1_over_E1,1.0062652205021083,1.00417326423728,1.008593203269242,1.0039038758551693,1.0107727416660297,positive
m32_ppc4,4,131072,gpu_step,S1_over_L0,0.3984698232387112,0.3981911104388142,0.40041994959770966,0.3981513728694951,0.4004200020034096,negative
m32_ppc4,4,131072,external_run,L1_over_L0,0.5058823529411764,0.5025575447570333,0.525065963060686,0.4599514563106796,0.6508951406649616,negative
m32_ppc4,4,131072,external_run,E1_over_L1,0.9805950840879689,0.9606879606879607,0.9973924380704042,0.8976034858387798,1.0208877284595304,inconclusive
m32_ppc4,4,131072,external_run,E1_over_L0,0.5045632333767928,0.48280098280098277,0.5148771021992238,0.4128540305010893,0.664490861618799,negative
m32_ppc4,4,131072,external_run,S1_over_E1,1.0292942743009321,1.0226666666666666,1.097035040431267,0.8896631823461092,1.2355316285329745,inconclusive
m32_ppc4,4,131072,external_run,S1_over_L0,0.5296495956873316,0.516,0.5299600532623169,0.5100942126514132,0.5911730545876888,negative
m32_ppc8,8,262144,gpu_step,L1_over_L0,0.437063194984086,0.4363887355103434,0.43745445726212945,0.4341068568987564,0.4375009925216172,negative
m32_ppc8,8,262144,gpu_step,E1_over_L1,1.0004369992778843,1.0002186253233623,1.0006907966806151,0.9900644617381289,1.0090819313877746,inconclusive
m32_ppc8,8,262144,gpu_step,E1_over_L0,0.4375500958843046,0.43725419128468385,0.437803216755017,0.4320529785316308,0.4380493855880734,negative
m32_ppc8,8,262144,gpu_step,S1_over_E1,0.9956468183436942,0.9946391962273928,0.9960039446782076,0.9944498715825809,1.011285452687045,inconclusive
m32_ppc8,8,262144,gpu_step,S1_over_L0,0.43564536083318617,0.4353733526804674,0.4362989160095863,0.43491015736645655,0.4369288919791464,negative
m32_ppc8,8,262144,external_run,L1_over_L0,0.5295566502463055,0.5157004830917874,0.5315985130111524,0.510688836104513,0.5433168316831682,negative
m32_ppc8,8,262144,external_run,E1_over_L1,0.9939975990396157,0.8355739400206825,1.0112079701120797,0.8311019567456231,1.0525,inconclusive
m32_ppc8,8,262144,external_run,E1_over_L0,0.5126050420168067,0.45398138572905894,0.5354919053549191,0.4418125643666323,0.5374999999999999,negative
m32_ppc8,8,262144,external_run,S1_over_E1,1.0360696517412937,1.0012468827930174,1.0522306855277477,0.9962640099626402,1.2167919799498748,inconclusive
m32_ppc8,8,262144,external_run,S1_over_L0,0.5354919053549191,0.5310945273631841,0.5361596009975063,0.47769314472252444,0.537593984962406,negative
m32_ppc16,16,524288,gpu_step,L1_over_L0,0.5245131703480667,0.5242566523658992,0.5245148068850521,0.5242424181062252,0.524580668112866,negative
m32_ppc16,16,524288,gpu_step,E1_over_L1,1.0032425588190748,1.00313974074422,1.0039652997903863,1.0026286443749828,1.0041365873580461,positive
m32_ppc16,16,524288,gpu_step,E1_over_L0,0.5262816517845714,0.5259026823377608,0.5263211964568534,0.5258935697817655,0.5266828648976574,negative
m32_ppc16,16,524288,gpu_step,S1_over_E1,1.0004097254124804,0.9997949342217203,1.0019153611349096,0.9990779003357076,1.0021546631390579,inconclusive
m32_ppc16,16,524288,gpu_step,S1_over_L0,0.5265748602660605,0.5264972827514297,0.5269008458864245,0.5258358758582906,0.5270358254621257,negative
m32_ppc16,16,524288,external_run,L1_over_L0,0.7551462621885157,0.7540106951871658,0.7621097954790098,0.6344902386117137,0.7967391304347827,negative
m32_ppc16,16,524288,external_run,E1_over_L1,1.0043243243243243,0.9978308026030367,1.008743169398907,0.948559670781893,1.0152008686210636,inconclusive
m32_ppc16,16,524288,external_run,E1_over_L0,0.7654054054054054,0.7617486338797813,0.765472312703583,0.6018518518518519,0.7950108459869848,negative
m32_ppc16,16,524288,external_run,S1_over_E1,1.0165562913907285,1.0153677277716795,1.020066889632107,0.9604743083003953,1.0221729490022171,inconclusive
m32_ppc16,16,524288,external_run,S1_over_L0,0.7771679473106476,0.7770345596432552,0.7781456953642384,0.5780632411067195,0.812638580931264,negative
m32_ppc32,32,1048576,gpu_step,L1_over_L0,0.6762568160874306,0.676045691402464,0.676475027737217,0.6733877150897659,0.6771160190743242,negative
m32_ppc32,32,1048576,gpu_step,E1_over_L1,1.0071033492079033,1.0041995933418963,1.0091913410921698,1.0010868934667625,1.0127088099564283,positive
m32_ppc32,32,1048576,gpu_step,E1_over_L0,0.6819258106120745,0.6793159477596614,0.681945671587835,0.6767804810476823,0.682472523149995,negative
m32_ppc32,32,1048576,gpu_step,S1_over_E1,1.0083256868819765,1.0026242773646994,1.0094854725318563,1.0020460960165676,1.0171037219194274,positive
m32_ppc32,32,1048576,gpu_step,S1_over_L0,0.6857595805225875,0.6842635203445268,0.6876033113879686,0.6833409979099863,0.6883559461960179,negative
m32_ppc32,32,1048576,external_run,L1_over_L0,0.7599637681159421,0.687299035369775,0.7710622710622711,0.680521597392013,0.8789808917197452,negative
m32_ppc32,32,1048576,external_run,E1_over_L1,1.0048465266558966,0.997560975609756,1.0072992700729926,0.8799355358581789,1.0129032258064519,inconclusive
m32_ppc32,32,1048576,external_run,E1_over_L0,0.6906300484652665,0.6788617886178862,0.7655109489051095,0.6784850926672038,0.8903225806451613,negative
m32_ppc32,32,1048576,external_run,S1_over_E1,1.0149672591206735,0.914095079232694,1.0539845758354756,0.8887293610911702,1.1674506114769518,inconclusive
m32_ppc32,32,1048576,external_run,S1_over_L0,0.715509854327335,0.6997497914929108,0.7920978363123236,0.6137832017229002,0.9036482694106643,negative
m32_ppc64,64,2097152,gpu_step,L1_over_L0,0.8746467426232001,0.8745241383659711,0.875637812816886,0.8741093432960849,0.8761911495179412,negative
m32_ppc64,64,2097152,gpu_step,E1_over_L1,1.0163118246336835,1.015290207781026,1.0175450745333658,1.0143235339668344,1.0203728499662401,positive
m32_ppc64,64,2097152,gpu_step,E1_over_L0,0.888367661614595,0.8881800407714132,0.8899924849128897,0.8878957941511094,0.8940416603488176,negative
