comparison,median,q1,q3,ci95_low,ci95_high,repeat_medians,classification,reference,candidate
L1_over_L0,1.3344403759374177,1.327338773556914,1.3410986538750902,1.3215465624663316,1.3462007888232304,"[1.3215465624663318, 1.327338773556914, 1.3344403759374177, 1.3462007888232304, 1.3410986538750902]",positive,L0,L1
E1_over_L1,1.0189434607773828,1.0130827697551739,1.0223895344318668,1.0074575035550235,1.0322517824997168,"[1.0322517824997168, 1.0189434607773828, 1.0130827697551739, 1.0074575035550233, 1.0223895344318668]",positive,L1,E1
S1_over_E1,1.0829472188167302,1.0815976317815765,1.0941586298071866,1.06983258047125,1.098006284538944,"[1.06983258047125, 1.0815976317815765, 1.0829472188167302, 1.0941586298071866, 1.0980062845389442]",positive,E1,S1
S1_over_L0,1.4640347771491813,1.462842586722394,1.4839417941782098,1.4594322218988471,1.5055041176319823,"[1.4594322218988471, 1.462842586722394, 1.4640347771491813, 1.4839417941782098, 1.5055041176319823]",positive,L0,S1
