comparison,median,q1,q3,ci95_low,ci95_high,repeat_medians,classification,reference,candidate
L1_over_L0,1.4343719752656756,1.4312520819305972,1.4420269097019172,1.4256206995284515,1.4477006445880598,"[1.4343719752656756, 1.4312520819305972, 1.4256206995284515, 1.4477006445880596, 1.4420269097019172]",positive,L0,L1
E1_over_L1,1.0250239313072622,1.0235384500361886,1.0250976526577507,1.0176593824072035,1.0260265371278308,"[1.026026537127831, 1.0250239313072622, 1.0235384500361886, 1.0176593824072038, 1.0250976526577507]",positive,L1,E1
S1_over_E1,0.9493178008992122,0.947999183903573,0.9511362701890367,0.9384963722264116,0.9585427504534272,"[0.9493178008992122, 0.9585427504534272, 0.9511362701890367, 0.947999183903573, 0.9384963722264115]",negative,E1,S1
S1_over_L0,1.396655102072896,1.3878767410867952,1.397114530250206,1.3873026059504832,1.4062470466367827,"[1.397114530250206, 1.406247046636783, 1.3878767410867952, 1.396655102072896, 1.3873026059504832]",positive,L0,S1
