factor,pair,ratio,stage,baseline_state,optimized_state,baseline_manuscript_state,optimized_manuscript_state,baseline_ms,optimized_ms,speedup
2,4,T2_over_T1,eulerian_coupling_ms,E1,E2,T1,T2,0.10188799700000001,0.098304003500000001,1.0364582659138599
2,4,T2_over_T1,injection_ms,E1,E2,T1,T2,0.032767999899999997,0.032767999899999997,1
2,4,T2_over_T1,bin_pre_ms,E1,E2,T1,T2,0.3814719915,0.38809600500000002,0.98293202348217934
2,4,T2_over_T1,pressure_pre_ms,E1,E2,T1,T2,1.5575040599999999,1.5477759799999999,1.006285198973045
2,4,T2_over_T1,collision_pool_ms,E1,E2,T1,T2,0.82943999749999997,0.96972799300000001,0.85533263295205297
2,4,T2_over_T1,relax_ms,E1,E2,T1,T2,10.434559799999999,10.4238081,1.0010314560568319
2,4,T2_over_T1,track_ms,E1,E2,T1,T2,3.8353919950000002,3.8343679900000001,1.0002670596569423
2,4,T2_over_T1,bin_post_ms,E1,E2,T1,T2,0.376832008,0.38092800999999998,0.98924730685989726
2,4,T2_over_T1,moments_ms,E1,E2,T1,T2,1.5621119750000001,1.8012160100000001,0.86725410296569594
2,4,T2_over_T1,pressure_post_ms,E1,E2,T1,T2,1.539072035,1.5319039800000001,1.0046791803491495
2,4,T2_over_T1,compaction_ms,E1,E2,T1,T2,4.208127975,4.2188799399999999,0.99745146457047562
2,4,T2_over_T1,boundary_ms,E1,E2,T1,T2,0.0255999994,0.024576000899999999,1.0416666041056339
2,4,S2_over_S1,total_ms,S1,S2,S1,S2,24.800255800000002,25.256959950000002,0.98191769116694505
2,4,S2_over_S1,gas_flux_ms,S1,S2,S1,S2,0.37427200350000001,0.38400000349999996,0.97466666689756953
2,4,S2_over_S1,eulerian_coupling_ms,S1,S2,S1,S2,0.099327996399999993,0.100863997,0.98477156720251724
2,4,S2_over_S1,injection_ms,S1,S2,S1,S2,0.032767999899999997,0.032767999899999997,1
2,4,S2_over_S1,bin_pre_ms,S1,S2,S1,S2,0.019455999099999999,0.096847999800000001,0.2008921107320587
2,4,S2_over_S1,pressure_pre_ms,S1,S2,S1,S2,1.4838079799999999,1.494528055,0.99282711691885905
2,4,S2_over_S1,collision_pool_ms,S1,S2,S1,S2,0.73574399949999991,0.87193602299999995,0.84380502708052463
2,4,S2_over_S1,relax_ms,S1,S2,S1,S2,10.42790415,10.4309759,0.9997055165279406
2,4,S2_over_S1,track_ms,S1,S2,S1,S2,3.8338561049999997,3.851264,0.99547995281549118
2,4,S2_over_S1,bin_post_ms,S1,S2,S1,S2,0.37478399299999998,0.38246399200000003,0.97991968090946446
2,4,S2_over_S1,moments_ms,S1,S2,S1,S2,1.57132798,1.823744,0.86159459880334077
2,4,S2_over_S1,pressure_post_ms,S1,S2,S1,S2,1.536512015,1.533952,1.0016689016344711
