factor,pair,order_in_pair,state,manuscript_state,run_id,restart_sha256,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms,particle_count,occupancy_mean,occupancy_cv,occupancy_p99,occupancy_max,heavy_threshold,heavy_cell_count,heavy_particle_count,heavy_particle_fraction,heavy_task_count_estimate
1,1,1,E1,T1,k1_pair01_o1_E1,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,24.821248050000001,0.37836798999999999,0.098815999949999997,0.03225599975,0.37788799399999995,1.5385600349999999,0.803327978,10.33983995,3.8195199999999998,0.373760015,1.5697920299999999,1.5211520200000002,3.9459840050000001,0.024576000899999999,3798929,499.8590789473684,1.9750548796337757,4500,11498.5,0,0,0,0,0
1,1,2,E2,T2,k1_pair01_o2_E2,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,25.231871599999998,0.36966399849999998,0.098304003500000001,0.032767999899999997,0.38604798899999998,1.5406080499999999,0.96716800300000005,10.3434238,3.8123519449999996,0.37990400200000002,1.7986559849999999,1.5201280150000001,3.9439359899999999,0.024576000899999999,3798929,499.8590789473684,1.9750548796337757,4500,11498.5,8384,19,186245,0.049022870471078145,38
1,1,3,S1,S1,k1_pair01_o3_S1,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,24.795136450000001,0.358400002,0.1049599985,0.034816000600000001,0.026623999699999998,1.490432025,0.73164799800000002,10.74022435,3.8640641000000002,0.37529599699999999,1.5923199650000002,1.5299040100000001,3.9567360900000002,0.0255999994,3798929,499.8590789473684,1.9750548796337757,4500,11498.5,0,0,0,0,0
1,1,4,S2,S2,k1_pair01_o4_S2,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,25.048063299999999,0.37632000450000003,0.099327996399999993,0.033280000099999998,0.11161600050000001,1.471967995,0.87091201550000008,10.393088349999999,3.850751995,0.37990400200000002,1.8263040149999998,1.52524799,3.9429119799999999,0.0255999994,3798929,499.8590789473684,1.9750550128541406,4500,11498.5,8384,19,186245,0.049022870471078145,38
1,2,1,E2,T2,k1_pair02_o1_E2,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,25.602047900000002,0.373760015,0.099839996699999989,0.032767999899999997,0.38911999800000002,1.5477759849999999,0.98099201899999999,10.531840299999999,3.8635520950000002,0.38195198800000002,1.8365439750000001,1.528831955,3.949568035,0.024576000899999999,3798929,499.8590789473684,1.9750550128541406,4500,11498.5,8384,19,186245,0.049022870471078145,38
1,2,2,S1,S1,k1_pair02_o2_S1,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,24.44236755,0.36710400900000001,0.109056,0.0336000007,0.019455999099999999,1.476464035,0.72294402099999999,10.3900161,3.8067199,0.37171199900000002,1.561087965,1.5144959650000001,3.9357439300000001,0.024576000899999999,3798929,499.8590789473684,1.9750550131208482,4500,11498.5,0,0,0,0,0
1,2,3,S2,S2,k1_pair02_o3_S2,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,24.800255749999998,0.33894400299999999,0.098304003500000001,0.032191999250000006,0.089600000550000003,1.4714879999999999,0.86534398800000001,10.39411215,3.8179839849999997,0.37990400200000002,1.7935519850000001,1.5104,3.9367679400000002,0.025088000149999998,3798929,499.8590789473684,1.9750548130902637,4500,11498.5,8384,19,186245,0.049022870471078145,38
1,2,4,E1,T1,k1_pair02_o4_E1,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,24.899583849999999,0.32819201050000002,0.099839996699999989,0.032767999899999997,0.37785598599999998,1.54419196,0.80537599299999996,10.397696,3.8650881049999999,0.373760015,1.572943985,1.52224004,3.9429119850000003,0.024576000899999999,3798929,499.8590789473684,1.9750549479108819,4500,11498.5,0,0,0,0,0
1,3,1,S1,S1,k1_pair03_o1_S1,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,24.363008499999999,0.31948800399999999,0.099327996399999993,0.032767999899999997,0.019455999099999999,1.4720320099999999,0.7280960085,10.3905277,3.81593597,0.37171199900000002,1.5672320150000001,1.5175679899999999,3.9567360900000002,0.024576000899999999,3798929,499.8590789473684,1.9750546798698718,4500,11498.5,0,0,0,0,0
1,3,2,S2,S2,k1_pair03_o2_S2,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,24.814592400000002,0.31999999299999998,0.098304003500000001,0.032767999899999997,0.09625600275,1.479040025,0.86681598400000004,10.3946562,3.81183994,0.37990400200000002,1.799679995,1.51961601,3.9372799399999998,0.025088000149999998,3798929,499.8590789473684,1.9750550796643469,4500,11498.5,8384,19,186245,0.049022870471078145,38
1,3,3,E1,T1,k1_pair03_o3_E1,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,24.982527750000003,0.3430400045,0.100863997,0.03273599965,0.37839999800000002,1.5447519999999999,0.80998399899999995,10.40742395,3.8604800699999999,0.37427200399999999,1.5800319950000001,1.5293439600000001,3.9577600950000003,0.024592000099999997,3798929,499.8590789473684,1.9750548796337757,4500,11498.5,0,0,0,0,0
1,3,4,E2,T2,k1_pair03_o4_E2,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,25.2303362,0.32716800299999999,0.098336000000000007,0.03225599975,0.38604798899999998,1.537024025,0.96614402499999996,10.395648,3.8103039249999999,0.37990400200000002,1.7930240049999999,1.5175679899999999,3.9321599000000003,0.024576000899999999,3798929,499.8590789473684,1.9750551463411949,4500,11498.5,8384,19,186245,0.049022870471078145,38
1,4,1,S2,S2,k1_pair04_o1_S2,bb7eb72ee5e82c70446b27c7a9543662f13d4abde9b03a83b1f0a5a602a9dc86,24.830975550000002,0.321024001,0.099327996399999993,0.032767999899999997,0.077919997299999988,1.47761601,0.86836800000000003,10.3946238,3.8369280100000003,0.38092800999999998,1.809487995,1.5165439850000002,3.93216002,0.024576000899999999,3798929,499.8590789473684,1.9750548796337757,4500,11498.5,8384,19,186245,0.049022870471078145,38
