GPU2_PARTICLES_V4 7581
1.90712479010555613e-03 2.32240213162388746e-03 -1.18883518019555954e-10 7.84295259010658725e+01 -6.51112044661760897e-02 -4.88890874158416490e-06 3.60000000000000000e+03 6.43393764325039927e-13 1.60417524282827322e-04 1 1 1609749797678410300 7566
4.64235183422367914e-03 2.31555457027987632e-03 -3.85725032879207582e-10 7.48130835609945279e+01 -1.35559076903698811e-01 -6.22336689613713948e-06 3.60000000000000000e+03 0.00000000000000000e+00 2.81713386149094909e-04 3 1 187117098612234642 7544
7.33732989761292156e-03 2.32142334495023892e-03 -7.76592744935286072e-10 7.23710020176111612e+01 -2.49472189450134045e-02 -7.71649426690012910e-06 3.60000000000000000e+03 0.00000000000000000e+00 1.85100661345175780e-04 5 1 16899891392875671546 7531
1.01888908499016620e-02 2.31642099535114615e-03 -1.43023190316665761e-09 7.20096797342255428e+01 -5.28510690138851921e-02 -1.02540545985779988e-05 3.60000000000000000e+03 9.65090646487559537e-13 1.66002052361831180e-04 8 1 1809497538072048750 7555
1.33746844992361745e-02 2.31309384270568302e-03 -1.90363003034673788e-09 7.38093291617615961e+01 -5.92830020622070117e-02 -1.05970981791451543e-05 3.60000000000000000e+03 0.00000000000000000e+00 3.07009779015099133e-04 10 1 14195224664043800584 7577
1.70006616367381139e-02 2.32631674619545280e-03 -9.29586003909308472e-10 7.74473447532738959e+01 1.16190493765401925e-02 -4.35823552748058179e-06 3.60000000000000000e+03 1.77959689456564368e-08 3.86526466857147551e-04 13 1 2693787846659392686 7622
2.09591628353377538e-02 2.32748059964072926e-03 -6.08350599844040015e-10 8.19384331067355021e+01 1.47947596690675854e-02 -2.70529396814086104e-06 3.60000000000000000e+03 1.02063567543733726e-10 3.27750899296311868e-04 16 1 3637768474638765329 7662
2.49379297717713527e-02 2.32377743269684359e-03 -8.26621859074922767e-10 8.59586728155534701e+01 5.74379504986060642e-04 -3.27906255577937480e-06 3.60000000000000000e+03 9.65090646487560425e-12 3.73103824636086422e-04 19 1 2177627464598279512 7675
2.86486235568946014e-02 2.29503731278717571e-03 -8.97287649486022833e-10 8.86682797847831665e+01 -8.78649583397515532e-02 -3.26308727184853498e-06 3.60000000000000000e+03 1.60848441081260118e-12 3.99958768182999099e-04 22 1 127556008594272967 7674
3.17365213509737606e-02 2.32662556859489656e-03 -9.31868256359703765e-10 8.91729999798474324e+01 8.50474353175925159e-03 -3.99013148902500305e-06 3.60000000000000000e+03 3.53866570378772248e-12 2.04977677319131133e-04 25 1 9306112485902684415 7665
3.43738692116852956e-02 2.30750087348173321e-03 3.67301049829583141e-09 8.86186313526197580e+01 -4.08411756585644395e-02 8.61557360913554520e-06 3.60000000000000000e+03 6.43393764325040432e-13 3.09906863304827457e-04 27 1 17947600217288664195 7635
3.63335681483372488e-02 2.29334541084914465e-03 5.82467302324048720e-09 8.63591671685956470e+01 -7.10633742526856488e-02 1.29058708789068318e-05 3.60000000000000000e+03 8.11518523876290904e-05 2.79587376005857558e-04 29 1 10555071656319904951 7615
3.77831625436769389e-02 2.25953226253516404e-03 6.44940778283581668e-09 8.31288165185922452e+01 -1.39591174176511401e-01 1.35710431402428625e-05 3.60000000000000000e+03 5.03399928302305383e-05 3.18180056883151719e-04 30 1 6499482197314910511 7585
3.86546979185934808e-02 2.30148522950596700e-03 5.77393532863346175e-09 7.89017908144558220e+01 -4.42069750983015847e-02 1.11662949115552250e-05 3.60000000000000000e+03 7.34376255722440816e-07 2.32721610944169925e-04 30 1 16128391895872759134 7540
3.97652306994397894e-02 2.29103632572659867e-03 9.51979293065922809e-10 7.54943078563476178e+01 -6.01472670516283586e-02 9.71702901190257564e-07 3.60000000000000000e+03 5.80039853597991628e-04 1.47698155944098164e-04 31 1 1247980703070341566 7519
4.13875651813867540e-02 2.28677387912114586e-03 -6.39133125075536281e-10 7.31988277188439156e+01 -6.33114234514785962e-02 -1.59543675068471741e-06 3.60000000000000000e+03 2.34504335678578674e-09 1.85100661345175780e-04 33 1 16937899529742546967 7531
